Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,173.94,1111.11,208.17,33.03,15.87,15.87,66.93,10.07,1.68,8.18,0.58,17.30,140.20,1.11,0.03
Aakaar Medical,,AAKAAR,Personal Products,79.25,112.32,61.58,9.74,15.82,15.82,18.60,,,13.71,0.98,33.80,44.63,0.18,2.16
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals & Biotechnology,932.80,8454.40,2115.07,464.37,21.96,21.96,31.04,4.25,,9.93,0.21,14.54,963.01,10.12,1.76
Accent Microcell,,ACCENTMIC,Pharmaceuticals & Biotechnology,278.35,667.73,264.58,41.91,15.84,15.84,20.20,3.43,0.39,15.26,0.01,18.44,124.62,6.41,4.67
ACE Alpha Tech,544431,,IT - Software,109.22,191.77,14.87,13.79,92.74,92.74,18.01,,,75.42,0.00,82.33,14.59,0.48,4.14
Aimtron,,AIMTRON,Industrial Manufacturing,809.85,1653.21,158.31,34.09,21.53,21.53,64.23,10.66,,15.95,0.00,24.89,116.18,2.92,3.01
Algoquant Fin,505725,,Finance,1225.35,1913.56,234.70,48.24,20.55,20.55,60.01,18.96,,12.27,0.34,37.55,74.85,0.04,1.67
Allied Blenders,544203,ABDL,Beverages,486.45,13606.50,3519.88,431.08,12.25,12.25,69.92,8.82,0.67,6.29,0.59,19.96,1581.25,20.87,1.20
Alpex Solar,,ALPEXSOLAR,Electrical Equipment,1153.40,2822.76,780.15,125.28,16.06,16.06,33.81,13.04,0.36,24.19,0.36,48.07,180.11,2.86,0.83
Amal,506597,,Chemicals & Petrochemicals,956.80,1182.86,162.12,51.85,31.98,32.01,30.92,11.93,1.13,25.69,0.00,34.65,18.56,0.89,0.40
Anand Rathi Wea.,543415,ANANDRATHI,Capital Markets,2540.20,21088.90,975.50,429.79,44.06,45.01,65.86,31.29,1.76,32.68,0.12,45.33,342.77,43.99,2.23
Apis India,506166,,Food Products,324.55,178.83,350.35,35.60,10.16,10.16,7.06,1.03,0.14,9.17,0.38,15.79,181.06,1.86,0.00
Arkade,544261,ARKADE,Realty,205.58,3816.87,683.10,206.09,30.17,30.17,24.32,4.32,,17.19,0.13,26.00,955.74,11.98,1.82
Aryaman Fin.Serv,530245,,Finance,713.25,833.22,112.87,52.67,46.66,46.66,26.40,6.47,0.26,23.47,0.22,31.30,116.80,5.23,2.16
Asahi India Glas,515030,ASAHIINDIA,Auto Components,835.85,20319.51,4594.48,766.13,16.68,16.68,58.98,7.61,3.19,5.61,1.01,13.72,722.98,66.46,3.34
Asarfi Hospital,543943,,Healthcare Services,144.35,284.04,120.57,23.84,19.77,19.77,25.87,3.49,0.78,6.90,0.60,14.46,32.10,7.57,3.77
ASK Automotive,544022,ASKAUTOLTD,Auto Components,543.95,10723.57,3600.83,432.14,12.00,12.00,43.31,10.28,2.35,14.19,0.39,26.63,107.40,17.89,1.28
ASM Technologies,526433,,IT - Software,2783.75,3277.11,288.81,47.20,16.34,16.34,129.79,19.85,0.76,9.62,0.52,16.47,149.13,8.55,3.31
Astonea Labs,544409,,Pharmaceuticals & Biotechnology,168.75,177.37,97.52,15.12,15.50,15.50,33.15,,,6.61,3.54,44.66,28.86,0.19,0.74
Avishkar Infra,508929,,Realty,126.08,282.46,2.40,1.87,77.92,77.92,83.57,19.57,1.95,21.07,0.15,150.22,15.61,2.20,0.00
Banco Products,500039,BANCOINDIA,Auto Components,662.25,9472.65,3212.52,611.16,19.02,19.02,24.18,7.27,0.61,16.23,0.44,33.28,1429.63,43.02,4.02
Belrise Industri,544405,BELRISE,Auto Components,117.28,10436.50,8290.82,1021.14,12.32,12.32,29.36,,,5.36,1.10,14.11,2208.13,61.63,2.27
Bemco Hydraulics,522650,,Industrial Manufacturing,3169.30,693.03,100.12,20.31,20.29,20.29,55.67,9.88,0.35,9.71,0.27,19.89,29.96,1.00,0.00
Blue Jet Health,544009,BLUEJET,Pharmaceuticals & Biotechnology,953.75,16544.26,1029.99,377.73,36.67,36.67,54.21,14.60,3.36,24.65,0.02,30.85,753.50,46.26,3.27
CCL Products,519600,CCL,Agricultural Food & other Products,876.85,11708.40,3105.75,555.09,17.87,17.87,37.73,5.95,2.83,7.98,0.92,17.05,1707.71,8.45,4.19
CEAT,500878,CEATLTD,Auto Components,3908.50,15809.92,13217.87,1474.14,11.15,11.15,32.08,3.62,2.19,4.65,0.49,11.72,-654.90,-12.06,3.35
Chemkart India,544442,,Food Products,259.45,313.91,203.28,32.76,16.12,16.12,12.94,,,34.75,0.32,58.95,61.37,2.18,0.97
Control Print,522295,CONTROLPR,IT - Hardware,900.05,1439.56,425.03,80.36,18.91,18.91,14.36,3.49,0.52,21.29,0.02,26.86,169.33,6.12,0.89
