Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,186.69,1192.56,208.17,33.03,15.87,15.87,71.84,10.80,0.33,8.18,0.58,17.30,75.96,1.11,50.23,33.95,81.11,2.40,0.00,0.01,2.19,0.38
Accent Microcell,,ACCENTMIC,Pharmaceuticals & Biotechnology,311.95,748.34,264.58,41.91,15.84,15.84,22.64,3.84,0.29,15.26,0.01,18.44,123.97,6.41,64.88,18.48,33.63,6.31,0.71,0.00,0.03,3.72
AGI Infra,539042,AGIIL,Realty,1075.90,2628.79,324.87,92.54,28.49,28.49,39.43,8.92,1.76,5.86,0.47,25.66,104.27,12.58,2.16,16.53,818.43,3.17,0.01,-0.44,1.58,1.65
Algoquant Fin,505725,,Finance,1208.55,1887.33,234.70,48.24,20.55,20.55,59.18,18.70,,12.27,0.34,37.55,74.85,0.04,1.72,0.00,0.00,2.42,0.00,0.00,0.78,3.69
Allied Blenders,544203,ABDL,Beverages,510.75,14286.20,3685.12,467.60,12.69,12.25,59.66,9.26,0.15,6.29,0.59,19.96,774.44,26.64,1746.84,606.91,578.51,2.88,0.70,0.09,2.08,3.98
Anand Rathi Wea.,543415,ANANDRATHI,Capital Markets,2601.10,21594.50,975.50,429.79,44.06,45.01,67.44,32.04,2.02,32.68,0.12,45.33,342.77,43.99,35.45,0.07,0.00,2.06,1.19,0.05,0.18,4.72
Apis India,506166,,Food Products,357.75,197.12,350.35,35.60,10.16,10.16,7.78,1.14,0.17,9.17,0.38,15.79,121.58,1.86,114.78,33.19,78.65,12.73,0.00,0.00,1.98,0.00
Apollo Hospitals,508869,APOLLOHOSP,Healthcare Services,7351.50,105703.29,21794.00,3021.80,13.87,13.87,73.11,12.87,3.74,8.05,0.96,19.09,2450.00,233.30,3016.10,2240.50,480.80,2.23,-0.95,0.75,3.15,3.71
Arihant Academy,,ARIHANTACA,Other Consumer Services,333.00,201.64,40.56,5.59,13.78,13.78,45.31,8.05,1.49,11.28,0.00,19.24,0.04,2.02,0.77,0.32,0.00,2.97,0.00,0.00,0.00,4.86
Authum Invest,539177,AIIL,Finance,2756.30,46814.40,4361.23,3991.81,91.53,89.63,11.43,3.20,0.13,31.27,0.04,34.12,-62.92,44.57,16.31,0.00,0.00,8.56,0.06,0.53,0.13,4.89
