Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
3M India,523395,3MINDIA,Diversified,Diversified,35520.00,40031.04,4750.64,878.41,18.49,17.31,72.24,24.85,3.35,15.20,0.06,23.85,1166.65,57.65,769.23,623.42,645.65,2.22,0.02,-0.41,0.12,4.00
Adani Ports,532921,ADANIPORTS,Transport Infrastructure,Port & Port services,1506.20,325360.13,34745.59,20643.43,59.41,59.53,27.11,4.85,0.99,8.59,0.85,18.76,2609.64,1962.41,5576.58,2745.72,541.02,4.79,-0.12,0.08,3.19,1.14
Aditya Birla Cap,540691,ABCAPITAL,Finance,Investment Company,349.80,91463.36,41693.04,15151.78,36.34,35.13,28.03,2.84,1.15,1.32,4.86,11.49,-60389.17,530.84,389.61,1641.74,0.00,6.38,0.76,-0.37,10.16,0.29
AIA Engineering,532683,AIAENG,Industrial Products,Castings & Forgings,3763.10,35117.39,4309.96,1187.95,27.56,26.91,31.16,4.77,1.62,13.66,0.14,15.42,6091.93,382.15,793.50,204.05,1173.69,4.11,0.16,-0.34,0.70,2.74
Alkem Lab,539523,ALKEM,Pharmaceuticals & Biotechnology,Pharmaceuticals,5773.00,69024.87,13890.16,2810.50,20.23,19.38,29.37,5.17,3.16,13.30,0.18,19.39,7248.04,492.06,3091.52,1886.69,3007.36,4.17,0.13,0.36,0.81,1.62
Anlon Healthcare,544497,AHCL,Pharmaceuticals & Biotechnology,Pharmaceuticals,163.33,868.12,120.29,32.55,27.06,27.06,31.86,4.05,0.07,13.27,0.27,40.45,225.62,0.16,107.45,16.56,56.53,3.44,,,1.87,2.20
Apis India,506166,,Food Products,Other Food Products,1097.90,604.95,365.95,37.48,10.24,10.21,26.31,3.91,0.54,8.45,0.30,15.80,129.53,2.69,114.04,25.07,64.19,5.42,0.00,0.00,1.32,0.00
Aptus Pharma,544529,,Pharmaceuticals & Biotechnology,Pharmaceuticals,162.75,111.65,24.56,4.85,19.75,19.75,31.54,5.15,,19.41,0.37,70.94,21.69,0.08,10.07,5.93,10.35,4.42,,,1.74,3.33
Arham Tech,,ARHAM,Consumer Durables,Consumer Electronics,148.05,250.50,83.08,16.00,19.26,18.14,23.77,6.76,,12.33,0.96,26.43,26.36,0.78,23.31,11.15,42.38,5.54,0.00,0.00,2.25,3.68
Asahi India Glas,515030,ASAHIINDIA,Auto Components,Auto Components & Equipments,1028.30,26214.16,4684.11,752.02,16.05,16.67,91.39,7.08,380.79,5.50,0.77,13.61,1050.96,76.82,439.32,949.81,1169.23,2.00,3.38,1.13,5.07,4.26
