Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
3M India,523395,3MINDIA,Diversified,Diversified,35435.00,59.46,39935.25,4750.64,878.41,18.49,17.31,72.06,24.79,3.34,15.20,0.06,23.85,1166.65,57.65,769.23,623.42,645.65,2.23,0.02,-0.41,0.12,4.23
Adani Energy Sol,539254,ADANIENSOL,Power,Power Distribution,1007.90,57.47,121077.28,25619.95,7466.81,29.14,29.73,53.68,5.18,2.13,3.37,1.95,13.64,4156.33,769.47,6160.26,4390.34,710.62,3.92,3.08,-2.79,7.19,4.01
Adani Ports,532921,ADANIPORTS,Transport Infrastructure,Port & Port services,1508.70,55.01,325900.16,34745.59,20643.43,59.41,59.53,27.15,4.86,0.99,8.59,0.85,18.76,2609.64,1962.41,5576.58,2745.72,541.02,4.79,-0.12,0.08,3.19,2.60
AIA Engineering,532683,AIAENG,Industrial Products,Castings & Forgings,3919.90,60.18,36580.65,4309.96,1187.95,27.56,26.91,32.46,4.97,1.69,13.66,0.14,15.42,6091.93,382.15,793.50,204.05,1173.69,3.94,0.16,-0.34,0.70,1.01
Alkem Lab,539523,ALKEM,Pharmaceuticals & Biotechnology,Pharmaceuticals,5624.00,49.80,67243.36,13890.16,2810.50,20.23,19.38,28.61,5.04,3.08,13.30,0.18,19.39,7248.04,492.06,3091.52,1886.69,3007.36,4.28,0.13,0.36,0.81,4.16
ANB Metal,,AMCL,Industrial Products,"Aluminium, Copper & Zinc Products",368.00,67.39,435.52,151.68,22.56,14.87,10.78,33.97,5.10,0.18,12.68,0.30,45.92,77.21,0.14,73.48,33.72,46.54,4.85,,,1.18,0.73
Apis India,506166,,Food Products,Other Food Products,61.60,100.00,848.55,365.95,37.48,10.24,10.21,36.91,5.49,0.75,8.45,0.30,15.80,129.53,2.69,114.04,25.07,64.19,3.94,0.00,0.00,1.32,0.00
Aptus Pharma,544529,,Pharmaceuticals & Biotechnology,Pharmaceuticals,161.75,59.30,110.96,24.56,4.85,19.75,19.75,31.34,5.11,,19.41,0.37,70.94,21.69,0.08,10.07,5.93,10.35,4.45,,,1.74,4.29
Arham Tech,,ARHAM,Consumer Durables,Consumer Electronics,155.00,64.50,262.26,83.08,16.00,19.26,18.14,24.88,7.07,,12.33,0.96,26.43,26.36,0.78,23.31,11.15,42.38,5.32,0.00,0.00,2.25,3.73
Ashapura Minech.,527001,ASHAPURMIN,Minerals & Mining,Industrial Minerals,856.35,76.66,8180.38,3728.75,531.43,14.25,13.78,20.53,5.74,0.34,7.95,0.86,27.14,514.19,94.26,546.32,462.77,507.53,5.73,0.09,1.60,2.36,1.45
Ashok Leyland,500477,ASHOKLEY,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,177.05,78.74,103996.59,50976.16,9941.54,19.50,18.97,31.11,8.26,0.11,4.47,4.33,28.82,8877.88,303.53,3406.86,6746.75,4611.09,6.03,-0.29,0.47,5.90,0.53
AU Small Finance,540611,AUBANK,Banks,Other Bank,984.45,66.03,73531.73,17273.80,8933.99,51.72,53.37,33.83,4.05,1.46,1.58,7.87,14.19,5735.08,2902.27,0.00,0.00,0.00,5.61,3.05,-3.18,12.07,2.30
Axis Solution,511144,,IT - Software,Computers - Software & Consulting,86.43,99.51,408.47,211.79,26.18,12.36,18.43,17.52,3.33,0.03,21.00,0.40,39.84,80.42,1.91,72.82,29.40,60.94,5.89,0.00,0.00,1.83,0.00
Bajaj Auto,532977,BAJAJ-AUTO,Automobiles,2/3 Wheelers,9164.00,58.38,256131.82,54683.29,10730.21,19.62,18.74,30.75,7.49,2.96,15.63,0.58,22.77,-1347.55,1824.54,3099.19,7666.69,2145.55,4.42,0.77,-0.64,1.63,3.44
Bank of Baroda,532134,BANKBARODA,Banks,Public Sector Bank,294.00,59.68,152038.05,131574.32,83732.48,63.64,64.41,7.90,0.96,0.21,1.18,10.53,15.53,100587.07,22892.16,0.00,0.00,0.00,6.01,0.14,0.63,15.69,3.27
Bharat Forge,500493,BHARATFORG,Auto Components,Auto Components & Equipments,1456.20,65.57,69619.27,15268.83,2695.80,17.66,17.80,64.41,7.44,81.53,4.72,0.71,11.58,938.31,198.40,3092.39,2763.49,4010.72,2.64,0.85,-0.75,3.35,0.51
Bharti Airtel,532454,BHARTIARTL,Telecom - Services,Telecom - Cellular & Fixed line services,2147.60,61.07,1292306.72,194613.50,109005.50,56.01,49.17,40.13,10.40,0.48,5.35,1.77,23.18,-104864.50,11478.70,8908.90,45232.60,429.60,4.28,0.31,0.70,3.28,1.25
Brahmaputra Inf.,535693,,Construction,Civil Construction,126.10,71.46,365.92,318.45,80.78,25.37,19.94,7.01,1.16,0.10,4.19,0.53,10.95,52.11,0.00,20.29,51.32,94.51,15.51,0.00,0.00,2.09,2.06
Britannia Inds.,500825,BRITANNIA,Food Products,Packaged Foods,6083.00,60.25,146520.18,18487.65,3346.82,18.10,17.70,63.24,39.24,4.89,24.52,0.59,52.94,-293.48,234.60,497.27,1882.31,2199.63,2.19,0.74,-0.56,0.68,4.01
Can Fin Homes,511196,CANFINHOME,Finance,Housing Finance Company,941.10,70.30,12531.13,4054.47,3728.00,91.95,92.25,13.60,2.29,0.62,2.20,6.61,18.22,213.97,1.18,0.75,3.26,0.00,7.68,-0.65,0.42,9.72,0.41
Canara Bank,532483,CANBK,Banks,Public Sector Bank,150.30,59.24,136331.89,125841.25,76573.02,60.85,62.10,7.12,1.18,0.17,1.08,14.05,17.75,149779.90,33467.06,0.00,0.00,0.00,6.64,0.82,0.51,14.47,2.54
City Union Bank,532210,CUB,Banks,Private Sector Bank,283.15,63.42,21012.51,6269.92,4325.87,68.99,70.59,17.39,2.11,1.25,1.51,7.22,12.58,7007.20,982.62,0.00,0.00,0.00,6.04,1.52,-1.42,13.50,0.68
Connplex Cinemas,,CONNPLEX,Entertainment,"Film Production, Distribution & Exhibition",258.00,57.25,492.78,118.98,31.30,26.31,27.49,21.97,4.06,0.12,37.97,0.01,123.94,39.65,0.89,22.56,8.90,13.73,6.21,,,0.06,4.44
Cummins India,500480,CUMMINSIND,Industrial Products,"Compressors, Pumps & Diesel Engines",4519.90,56.77,125291.63,11643.62,2441.09,20.97,20.02,54.37,15.87,1.56,20.85,0.00,28.15,5023.17,777.90,2565.36,1524.44,1162.01,2.44,-0.80,0.85,0.01,2.06
Cupid,530843,CUPID,Personal Products,Personal Care,457.95,88.28,12294.45,266.82,89.44,33.52,23.22,199.16,32.25,5.53,11.99,0.07,12.89,301.97,0.00,89.65,15.97,42.64,0.70,0.24,1.63,0.32,0.26
E Factor Experie,,EFACTOR,Other Consumer Services,Other Consumer Services,338.90,57.59,443.56,206.01,33.90,16.46,15.70,17.76,5.82,0.18,15.61,0.28,31.98,65.55,2.13,93.53,25.77,0.00,7.69,-0.31,0.08,0.61,2.61
Eicher Motors,505200,EICHERMOT,Automobiles,2/3 Wheelers,7291.50,60.63,200005.29,21427.66,5173.56,24.14,25.03,39.16,9.06,0.95,18.85,0.02,24.10,2964.72,2169.67,411.39,2813.84,1834.71,3.28,-1.05,1.16,0.07,0.50
Encompass Design,,ENCOMPAS,,,205.30,,291.19,54.65,16.87,30.87,30.87,26.99,,,28.15,0.42,50.24,19.73,0.36,9.89,3.34,15.93,5.04,,,1.06,1.25
Esab India,500133,ESABINDIA,Industrial Products,Other Industrial Products,6243.50,67.33,9610.63,1438.78,252.37,17.54,17.83,52.31,23.07,1.88,29.15,0.01,52.34,268.01,39.44,259.44,169.09,126.29,2.56,-0.05,-0.03,0.01,2.82
