Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,354.50,50.90,92789.93,41693.04,15151.78,36.34,35.13,28.44,2.88,1.16,1.32,4.86,11.49,-60389.17,530.84,389.61,1641.74,0.00,6.34,1.85,-0.95,10.16,4.01
Alkem Lab,539523,ALKEM,INE540L01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,5758.50,54.89,68851.51,13890.16,2810.50,20.23,19.38,29.29,5.16,3.15,13.30,0.18,19.39,7248.04,492.06,3091.52,1886.69,3007.36,4.18,-0.39,0.50,0.81,2.95
Aptus Pharma,544529,,INE15XJ01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,242.90,86.08,166.63,24.56,4.85,19.75,19.75,47.07,7.68,,19.41,0.37,70.94,21.69,0.08,10.07,5.93,10.35,2.90,-2.80,-10.03,1.74,1.16
Ascom Leasing &,,ASCOM,INE08KD01015,Finance,Non Banking Financial Company (NBFC),151.00,91.07,176.88,13.29,7.82,58.84,58.51,34.08,3.37,20.29,9.39,0.07,10.84,13.00,-0.04,4.15,0.00,0.00,4.36,0.00,0.00,0.49,0.00
Ashok Leyland,500477,ASHOKLEY,INE208A01029,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,190.28,65.12,111767.70,50976.16,9941.54,19.50,18.97,33.43,8.88,0.12,4.47,4.33,28.82,8877.88,303.53,3406.86,6746.75,4611.09,5.73,0.14,0.09,5.90,0.79
AU Small Finance,540611,AUBANK,INE949L01017,Banks,Other Bank,1000.55,54.14,74781.46,17887.79,9304.97,52.02,53.37,32.33,4.12,1.40,1.58,7.87,14.19,5735.08,3007.66,0.00,0.00,0.00,5.81,-0.64,1.95,11.60,2.85
Automotive Axles,505010,AUTOAXLES,INE449A01011,Auto Components,Auto Components & Equipments,1944.50,57.38,2938.14,2041.52,216.27,10.59,10.59,18.69,2.92,0.68,11.91,0.01,16.58,765.23,32.76,391.30,245.08,230.12,7.29,0.40,-0.03,0.07,4.68
Axis Bank,532215,AXISBANK,INE238A01034,Banks,Private Sector Bank,1294.80,57.21,402075.31,129272.60,77132.26,59.67,63.58,15.47,2.03,0.60,1.78,7.28,16.30,81517.79,29815.46,0.00,0.00,0.00,6.01,-0.22,0.69,13.49,2.43
Axis Solution,511144,,INE520G01024,IT - Software,Computers - Software & Consulting,105.04,99.70,496.42,211.79,26.18,12.36,18.43,21.29,4.05,0.04,21.00,0.40,39.84,80.42,1.91,72.82,29.40,60.94,4.94,0.00,0.00,1.83,0.00
Bajaj Consumer,533229,BAJAJCON,INE933K01021,Personal Products,Personal Care,296.90,62.10,3878.06,1088.55,176.34,16.20,13.22,24.61,6.01,-2.57,13.15,0.03,15.70,328.45,29.81,75.60,52.17,63.68,5.02,0.48,-0.42,0.09,4.33
