Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
ABS Marine,,ABSMARINE,INE0QRV01016,Transport Services,Shipping,248.25,72.26,609.5,235.84,87.89,37.27,27.9,12.15,2.33,0.04,8.81,1.34,15.56,64.95,6.04,93.33,19.29,0.0,8.01,-6.48,0.02,4.7,0.0,4.15
Accent Microcell,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,470.0,72.1,1127.47,277.91,47.08,16.94,15.84,32.53,4.53,0.42,15.26,0.0,18.44,124.13,6.04,52.77,13.87,52.08,4.61,0.02,0.29,0.02,0.22,0.82
Accretion Pha.,,ACCPL,INE0T8T01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,117.75,75.76,130.9,82.55,14.61,17.7,20.72,14.41,2.8,,20.18,0.17,65.35,38.54,0.19,21.85,2.67,22.83,10.54,0.0,0.0,0.56,0.0,0.3
Active Infra.,,ACTIVEINFR,INE0KLO01025,Realty,"Residential, Commercial Projects",181.0,60.52,271.77,95.11,24.9,26.18,26.33,27.68,2.36,0.07,8.67,0.52,13.63,101.38,2.29,42.43,9.75,59.27,8.25,0.0,0.0,2.53,0.55,4.74
Acutaas Chemical,543349.0,ACUTAAS,INE00FF01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,2750.0,68.99,22514.51,1339.37,480.39,35.87,35.87,63.18,13.63,1.02,20.17,0.02,24.05,650.46,41.59,362.56,153.91,231.32,2.2,-2.1,2.81,0.07,0.06,0.12
Adani Green,541450.0,ADANIGREEN,INE364U01010,Power,Power Generation,1355.8,84.66,223324.1,12928.0,10768.0,83.29,83.29,123.27,11.15,7.28,1.71,5.19,11.29,-8689.0,672.0,2129.0,407.0,136.0,2.55,0.25,-0.32,12.49,0.0,1.61
Adani Ports,532921.0,ADANIPORTS,INE742F01042,Transport Infrastructure,Port & Port services,1760.3,72.73,405565.92,38735.77,22851.41,58.99,58.99,31.21,4.14,1.14,8.13,0.66,16.39,6214.48,2168.51,6382.54,2736.24,685.0,4.34,-0.03,0.15,3.22,0.43,1.71
Adani Power,533096.0,ADANIPOWER,INE814H01029,Power,Integrated Power Utilities,225.15,84.09,434194.98,54240.52,19806.11,36.52,36.52,33.83,6.63,5.6,10.17,0.84,21.16,8359.87,3624.76,11791.37,2840.53,3623.48,3.84,0.28,0.09,2.9,0.0,3.95
ADC India,523411.0,,INE833A01016,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,2122.5,85.98,976.34,184.56,19.15,10.38,15.6,53.25,12.62,1.26,22.43,0.0,34.74,69.37,4.9,26.33,23.69,13.63,2.72,0.0,0.0,0.0,1.41,0.82
Aditya AMC,543374.0,ABSLAMC,INE404A01024,Capital Markets,Asset Management Company,1072.4,64.09,31002.68,1845.03,1104.69,59.87,59.87,31.67,7.65,1.77,22.91,0.02,25.16,8.16,211.66,54.62,70.37,0.0,4.06,0.76,-0.3,0.05,2.25,4.55
Aditya Birla Cap,540691.0,ABCAPITAL,INE674K01013,Finance,Investment Company,362.95,66.83,95111.81,45508.98,16694.14,36.68,36.68,24.99,2.74,-3.36,1.27,5.22,11.74,-66325.64,505.92,843.34,1842.17,0.0,6.24,-0.96,1.86,10.59,0.0,3.46
Aditya Infotech,544466.0,CPPLUS,INE819V01029,Industrial Manufacturing,Industrial Products,2508.3,79.33,29547.34,3776.23,407.41,10.79,7.96,116.45,18.62,6.27,6.24,0.08,20.87,787.3,11.68,1053.91,1424.28,948.22,1.29,4.56,1.35,0.34,0.0,2.62
Aeroflex,543972.0,AEROFLEX,INE024001021,Industrial Products,Iron & Steel Products,439.05,81.55,5810.07,441.94,99.74,22.57,22.57,104.58,13.06,5.33,11.2,0.02,14.06,212.0,1.36,129.82,80.71,83.72,1.39,0.25,0.5,0.12,0.07,3.31
Akiko,,AKIKO,INE0PMR01017,Finance,Other Financial Services,295.65,77.99,318.4,121.84,17.36,14.25,15.26,22.79,6.38,,,0.12,16.72,45.98,0.16,49.01,12.15,0.0,5.13,1.18,0.04,0.38,0.0,1.22
Ameenji Rubber,544555.0,,INE14QA01016,Industrial Products,Rubber,168.0,80.42,189.5,94.05,19.0,20.2,20.2,19.1,,0.21,10.08,1.85,54.28,18.5,0.38,15.25,29.2,50.54,6.76,-3.6,-2.37,3.05,0.0,4.0
Anand Rathi Wea.,543415.0,ANANDRATHI,INE463V01026,Capital Markets,Financial Products Distributor,3608.8,68.92,29960.52,1207.77,572.13,47.37,47.37,76.55,29.24,2.35,34.03,0.08,45.3,627.41,0.05,41.39,0.13,0.0,1.82,-0.35,-0.88,0.15,0.36,3.38
ANB Metal,,AMCL,INE0VG001016,Industrial Products,"Aluminium, Copper & Zinc Products",512.7,62.88,606.77,151.68,22.56,14.87,10.78,47.32,7.1,0.25,12.68,0.3,45.92,77.21,0.14,73.48,33.72,46.54,3.5,0.29,-1.1,1.18,0.0,3.25
Angel One,543235.0,ANGELONE,INE732I01021,Capital Markets,Stockbroking & Allied,326.0,67.77,29693.96,5136.61,1817.88,35.39,35.39,32.36,4.88,26.52,4.49,1.3,15.59,8087.75,15.63,434.45,9170.28,0.0,8.22,0.77,0.36,4.65,1.46,2.66
Apollo Hospitals,508869.0,APOLLOHOSP,INE437A01024,Healthcare Services,Hospital,8097.0,59.9,116422.38,24215.2,3528.0,14.57,13.92,64.21,12.87,3.54,7.77,0.88,18.42,3052.4,234.9,3464.8,2323.5,505.4,2.44,1.26,-0.92,2.74,0.24,0.21
Apsis Aerocom,,APSISAERO,INE1OOJ01011,Aerospace & Defense,Aerospace & Defense,287.05,73.45,345.95,20.49,10.2,49.78,49.78,52.02,,,43.59,0.17,91.72,1.86,0.07,4.92,3.49,3.3,2.79,,,0.25,0.0,0.0
Aptus Pharma,544529.0,,INE15XJ01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,425.0,83.17,291.55,46.57,7.45,16.0,16.0,63.11,12.48,0.33,14.12,0.31,30.47,15.93,0.13,18.76,8.15,13.57,2.3,0.0,0.0,1.0,0.0,4.88
Asarfi Hospital,543943.0,,INE0DN001027,Healthcare Services,Hospital,254.5,69.83,500.8,160.46,31.3,19.51,20.47,29.81,5.63,1.29,6.71,0.54,14.06,17.78,8.59,46.84,15.27,2.88,5.38,0.42,0.0,1.71,0.0,0.95
Aster DM Health.,540975.0,ASTERDM,INE914M01019,Healthcare Services,Hospital,742.4,64.62,38465.29,4643.22,864.03,18.61,18.61,94.21,8.39,-71.92,6.11,0.49,10.7,968.63,92.89,307.23,481.51,91.16,1.85,1.45,-1.28,3.06,0.68,3.58
Astra Microwave,532493.0,ASTRAMICRO,INE386C01029,Aerospace & Defense,Aerospace & Defense,1147.6,66.17,10895.87,1082.42,289.74,26.77,25.63,67.97,9.31,1.17,8.96,0.24,14.43,1005.39,31.23,609.9,74.7,617.61,2.51,0.67,1.3,1.0,0.19,4.04
AU Small Finance,540611.0,AUBANK,INE949L01017,Banks,Other Bank,1048.0,60.9,78448.71,18636.34,10019.77,53.76,53.76,29.67,3.89,1.3,1.51,8.44,14.32,6000.56,2977.94,0.0,0.0,0.0,5.49,0.03,0.82,12.81,0.1,2.93
Aurobindo Pharma,524804.0,AUROPHARMA,INE406A01037,Pharmaceuticals & Biotechnology,Pharmaceuticals,1488.5,69.73,86452.41,33181.86,6814.2,20.54,20.65,24.56,2.52,3.11,7.35,0.22,11.08,13147.96,486.96,5891.11,4750.6,11191.88,6.63,-1.84,1.29,1.39,0.27,1.64
Avalon Tech,543896.0,AVALON,INE0LCL01028,Electrical Equipment,Other Electrical Equipment,1386.5,71.63,9257.09,1603.21,173.34,10.81,10.81,81.95,12.74,2.82,9.81,0.3,16.94,521.51,28.92,381.27,251.27,463.29,1.98,0.77,-1.14,1.26,0.0,2.71
Avana Electrosystems,,AVANA,INE1KU201016,Electrical Equipment,Heavy Electrical Equipment,141.5,79.5,320.45,61.49,11.76,19.13,19.13,38.56,,0.22,18.99,0.26,47.11,19.4,1.45,21.19,9.27,14.71,3.92,,,0.46,0.0,2.65
AXISCADES Tech.,532395.0,AXISCADES,INE555B01013,Aerospace & Defense,Aerospace & Defense,2173.6,74.42,9241.62,1153.92,181.35,15.72,14.0,84.23,13.36,1.7,6.96,0.37,12.67,338.79,12.56,345.91,77.93,65.14,1.76,0.69,-0.29,1.59,0.0,1.08
B-Right Real,543543.0,,INE0IZQ01016,Realty,"Residential, Commercial Projects",960.0,58.74,991.81,167.79,65.64,39.12,39.12,28.23,5.62,0.16,11.08,1.06,22.13,196.73,2.13,57.83,14.99,159.33,5.65,0.0,0.0,2.84,0.0,4.75
Bajaj Auto,532977.0,BAJAJ-AUTO,INE917I01010,Automobiles,2/3 Wheelers,10710.85,71.93,299365.88,62905.0,13061.07,20.76,20.76,27.73,7.67,1.32,16.15,0.58,29.11,14713.65,2703.75,3473.44,8804.01,6294.49,4.8,0.28,-0.02,1.5,1.4,0.68
Bajaj Consumer,533229.0,BAJAJCON,INE933K01021,Personal Products,Personal Care,546.1,73.26,7133.06,1164.71,220.92,18.97,18.97,37.51,9.39,3.36,20.6,0.02,25.31,433.51,27.41,75.62,42.45,66.12,3.43,-1.48,6.89,0.07,0.0,0.35
Bank of Maha,532525.0,MAHABANK,INE457A01014,Banks,Public Sector Bank,83.83,72.22,64478.32,29281.74,19933.36,68.07,68.07,9.18,2.01,0.23,1.76,11.61,22.66,26342.47,3541.98,0.0,0.0,0.0,5.53,0.43,0.63,16.43,1.73,2.44
Belrise Industri,544405.0,BELRISE,INE894V01022,Auto Components,Auto Components & Equipments,222.3,68.25,19782.04,9230.62,1139.62,12.35,12.32,41.11,3.94,3.85,5.35,0.29,14.09,2326.48,93.54,1709.59,1307.61,960.03,4.16,0.89,-0.04,1.6,0.24,2.78
Bharat Forge,500493.0,BHARATFORG,INE465A01025,Auto Components,Auto Components & Equipments,1988.45,67.99,95065.54,16811.65,2917.21,17.35,17.35,80.54,9.89,2.28,5.64,0.76,12.53,1621.42,44.24,3909.8,2995.66,4052.78,2.11,-1.46,1.75,3.41,0.43,2.7
