Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,499.50,21581.36,3242.67,2471.69,76.22,76.30,22.74,3.38,0.84,4.31,2.56,16.86,1607.27,4.43,25.28,125.93,0.00,6.77,-0.15,0.26,6.66,7.16
AAVAS Financiers,541988,AAVAS,Finance,1679.20,13292.03,2354.51,1772.60,75.29,75.29,23.15,3.05,1.35,3.27,3.19,14.12,1773.87,3.91,11.37,4.88,0.00,6.78,0.77,0.10,8.00,24.98
ACC,500410,ACC,Cement & Cement Products,1794.60,33700.30,22742.68,3159.95,13.89,14.07,14.43,1.82,2.18,9.46,0.02,13.23,2017.70,1172.60,1162.91,1638.30,1925.42,9.89,-0.79,-0.17,0.13,29.49
Adani Power,533096,ADANIPOWER,Power,567.00,218688.44,55356.61,20796.41,37.57,38.11,18.01,3.88,0.49,12.46,0.70,25.72,8834.76,2648.97,13022.07,2977.66,3317.28,7.56,0.12,0.10,2.07,21.20
Aditya AMC,543374,ABSLAMC,Capital Markets,834.60,24088.76,1745.55,1034.68,59.28,64.91,24.78,6.46,2.17,24.44,0.02,26.99,75.86,324.11,57.87,68.11,0.00,5.48,-0.12,0.20,0.05,8.48
Aditya Birla Cap,540691,ABCAPITAL,Finance,251.45,65654.12,40632.23,14274.90,35.13,35.13,19.98,2.16,0.78,1.32,4.61,11.49,-95387.25,536.32,688.25,1318.24,0.00,7.27,2.27,-1.36,9.65,11.04
Afcons Infrastr.,544280,AFCONS,Construction,405.85,14926.54,12548.42,1361.15,10.85,10.85,30.46,2.84,2.84,2.94,0.45,11.06,3021.22,469.16,2779.32,3541.35,1010.22,8.15,2.46,-2.41,1.74,28.80
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,1000.60,12270.27,2400.12,695.41,28.97,28.60,24.75,4.35,4.93,15.51,0.02,18.86,1865.00,38.07,969.74,390.46,673.95,5.47,0.43,-0.15,0.08,25.05
Amara Raja Ener.,500008,ARE&M,Auto Components,953.90,17458.79,12404.89,1634.02,13.17,13.17,20.00,2.37,1.01,9.28,0.04,12.34,1308.56,199.43,1142.80,1046.54,2036.44,6.95,-0.59,-1.32,0.21,41.80
Angel One,543235,ANGELONE,Capital Markets,2569.80,23268.45,4973.46,1785.14,35.89,37.85,23.41,4.13,1.00,7.78,0.61,27.07,4675.08,7.23,299.59,7317.72,0.00,11.30,2.16,1.61,2.03,26.64
