Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,Housing Finance Company,487.05,21115.67,3375.53,2577.37,76.35,76.30,21.37,3.06,0.79,4.31,2.55,16.86,1641.75,6.55,0.00,108.12,0.00,6.92,-0.18,0.53,6.89,11.09
AAVAS Financiers,541988,AAVAS,Finance,Housing Finance Company,1618.70,12816.79,2527.53,1878.12,74.31,75.29,21.25,2.74,1.24,3.27,3.08,14.11,2153.46,3.26,7.79,3.22,0.00,7.28,2.61,-3.89,7.82,27.68
ACC,500410,ACC,Cement & Cement Products,Cement & Cement Products,1869.10,35099.32,24060.83,3569.63,14.84,14.07,10.86,1.76,1.64,9.46,0.02,13.23,5242.34,1273.93,3678.49,2001.25,1985.75,10.35,-1.58,0.38,0.13,19.61
Action Const.Eq.,532762,ACE,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,969.30,11542.73,3232.42,500.38,15.48,15.20,27.61,6.48,0.48,16.70,0.08,28.65,314.99,119.01,276.23,784.88,612.28,5.05,-0.22,-1.08,0.24,39.42
Adani Power,533096,ADANIPOWER,Power,Integrated Power Utilities,146.84,283176.46,55474.57,20671.12,37.26,38.11,23.54,4.84,0.62,12.46,0.83,26.10,9774.09,2775.96,9437.92,2976.65,3140.31,5.88,0.94,-0.93,2.56,19.65
Aditya AMC,543374,ABSLAMC,Capital Markets,Asset Management Company,725.70,20951.61,1782.66,1066.81,59.84,64.91,21.58,5.88,1.89,24.44,0.02,26.99,-5.35,273.42,59.36,84.22,0.00,6.21,-0.50,0.66,0.05,20.42
Afcons Infrastr.,544280,AFCONS,Construction,Civil Construction,402.00,14784.94,12793.14,1421.99,11.12,10.85,29.44,2.74,2.75,2.94,0.66,11.06,3037.61,446.56,2908.47,3540.08,1016.12,7.77,3.41,-2.99,2.61,29.47
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,Pharmaceuticals,884.75,10854.23,2481.22,740.22,29.83,28.67,20.46,3.60,4.34,15.37,0.02,18.69,1986.62,44.26,1002.85,409.92,722.51,6.59,-0.15,0.42,0.08,29.77
Amara Raja Ener.,500008,ARE&M,Auto Components,Auto Components & Equipments,945.60,17306.88,12875.97,1550.66,12.04,13.17,21.45,2.22,1.08,9.28,0.04,12.34,1398.88,320.15,1228.44,1191.66,2255.25,6.38,2.24,-1.42,0.26,30.47
Angel One,543235,ANGELONE,Capital Markets,Stockbroking & Allied,2687.70,24406.40,4660.51,1528.72,32.80,37.85,31.20,4.20,1.34,7.78,0.77,27.07,3734.86,8.42,283.00,7590.87,0.00,7.94,-1.56,-1.55,3.13,23.28
Aptus Value Hou.,543335,APTUS,Finance,Housing Finance Company,280.50,14043.52,1998.39,1683.70,84.25,84.58,16.65,3.02,0.63,7.42,1.57,18.58,609.69,43.67,0.00,12.49,0.00,8.21,9.83,4.95,4.27,23.12
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals,1208.00,70160.84,32514.48,6618.84,20.36,20.65,20.50,2.00,2.59,7.35,0.22,11.08,13147.96,523.16,5891.11,4750.60,11191.88,7.88,0.67,-0.17,1.43,11.50
Authum Invest,539177,AIIL,Finance,Non Banking Financial Company (NBFC),2624.80,44580.94,3865.32,3616.75,93.57,89.63,11.10,2.75,0.13,31.30,0.17,34.14,369.48,24.48,17.59,53.94,0.00,7.78,0.09,6.17,0.77,20.91
Avanti Feeds,512573,AVANTIFEED,Food Products,Animal Feed,826.35,11258.66,5963.96,745.01,12.49,11.30,18.20,3.74,0.55,15.68,0.00,19.53,2792.81,189.68,219.87,697.06,541.79,8.25,0.19,-0.61,0.02,14.37
Bajaj Finance,500034,BAJFINANCE,Finance,Non Banking Financial Company (NBFC),986.20,613661.16,76194.74,52179.07,68.48,68.79,33.53,5.95,1.01,3.99,3.85,19.22,11609.47,56.70,1631.26,2054.22,0.00,5.13,-0.13,0.26,7.75,10.55
Bajaj Finserv,532978,BAJAJFINSV,Finance,Holding Company,2030.20,324388.04,141479.18,53466.32,37.79,37.01,33.51,4.24,1.34,2.96,5.13,13.39,20015.70,29.28,7937.86,7873.72,0.00,7.42,0.40,-0.29,7.51,7.51
Bajaj Housing,544252,BAJAJHFL,Finance,Housing Finance Company,104.96,87456.18,10327.38,9394.08,90.96,91.85,37.04,4.13,0.82,2.35,4.44,13.46,-148.78,3.07,26.82,122.10,0.00,5.16,-0.05,-0.13,10.06,28.94
Bandhan Bank,541153,BANDHANBNK,Banks,Private Sector Bank,149.63,24104.97,21742.03,9378.08,43.13,51.91,19.63,0.98,0.11,1.49,6.76,11.88,9601.39,3083.77,0.00,0.00,0.00,6.74,1.30,-0.90,13.34,22.26
Belrise Industri,544405,BELRISE,Auto Components,Auto Components & Equipments,157.92,14052.97,9056.86,1114.49,12.31,12.32,30.87,2.83,2.89,5.35,0.29,14.09,2326.48,95.10,1709.59,1307.61,960.03,5.75,-3.12,0.89,1.64,6.33
