Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,Housing Finance Company,477.15,41.47,20698.59,3375.53,2577.37,76.35,76.30,20.95,3.00,0.78,4.31,2.55,16.86,1641.75,6.55,0.00,108.12,0.00,7.00,-0.18,0.53,6.89,12.90
AAVAS Financiers,541988,AAVAS,Finance,Housing Finance Company,1478.00,41.01,11702.73,2527.53,1878.12,74.31,75.29,19.40,2.50,1.13,3.27,3.08,14.11,2153.46,3.26,7.79,3.22,0.00,7.62,2.61,-3.89,7.82,33.97
ACC,500410,ACC,Cement & Cement Products,Cement & Cement Products,1725.20,30.69,32397.06,24060.83,3569.63,14.84,14.07,10.03,1.63,1.52,9.46,0.02,13.23,5242.34,1273.93,3678.49,2001.25,1985.75,11.20,-1.58,0.38,0.13,18.75
Action Const.Eq.,532762,ACE,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,933.75,42.10,11119.39,3232.42,500.38,15.48,15.20,26.60,6.24,0.46,16.70,0.08,28.65,314.99,119.01,276.23,784.88,612.28,5.24,-0.22,-1.08,0.24,41.64
Adani Power,533096,ADANIPOWER,Power,Integrated Power Utilities,140.44,39.56,270834.25,55474.57,20671.12,37.26,38.11,22.51,4.63,0.60,12.46,0.83,26.10,9774.09,2775.96,9437.92,2976.65,3140.31,6.12,0.94,-0.93,2.56,23.15
Aditya AMC,543374,ABSLAMC,Capital Markets,Asset Management Company,792.85,63.99,22895.72,1782.66,1066.81,59.84,64.91,23.58,6.42,2.06,24.44,0.02,26.99,-5.35,273.42,59.36,84.22,0.00,5.68,-0.50,0.66,0.05,13.03
Aditya Birla Cap,540691,ABCAPITAL,Finance,Investment Company,346.75,51.05,90701.80,41693.04,15151.78,36.34,35.13,27.80,2.82,1.14,1.32,4.86,11.49,-60389.17,530.84,389.61,1641.74,0.00,6.40,0.76,-0.37,10.16,6.02
Aegis Logistics,500003,AEGISLOG,Gas,Trading - Gas,712.20,33.21,24998.22,7425.45,1172.28,15.79,16.23,34.87,4.21,1.53,8.27,0.41,15.53,2504.41,283.91,538.52,439.25,114.95,5.13,-0.15,0.09,1.90,31.32
Afcons Infrastr.,544280,AFCONS,Construction,Civil Construction,385.50,40.07,14178.10,12793.14,1421.99,11.12,10.85,28.23,2.63,2.63,2.94,0.66,11.06,3037.61,446.56,2908.47,3540.08,1016.12,8.05,3.41,-2.99,2.61,32.37
Alivus Life,543322,ALIVUS,Pharmaceuticals & Biotechnology,Pharmaceuticals,898.85,49.31,11027.21,2481.22,740.22,29.83,28.67,20.79,3.66,4.41,15.37,0.02,18.69,1986.62,44.26,1002.85,409.92,722.51,6.49,-0.15,0.42,0.08,28.65
Amara Raja Ener.,500008,ARE&M,Auto Components,Auto Components & Equipments,905.80,30.49,16578.44,12875.97,1550.66,12.04,13.17,20.54,2.13,1.04,9.28,0.04,12.34,1398.88,320.15,1228.44,1191.66,2255.25,6.65,2.24,-1.42,0.26,25.76
Angel One,543235,ANGELONE,Capital Markets,Stockbroking & Allied,2410.20,36.70,21894.10,4660.51,1528.72,32.80,37.85,27.99,3.76,1.20,7.78,0.77,27.07,3734.86,8.42,283.00,7590.87,0.00,9.24,-1.56,-1.55,3.13,26.63
Aptus Value Hou.,543335,APTUS,Finance,Housing Finance Company,278.10,38.64,13925.10,1998.39,1683.70,84.25,84.58,16.51,2.99,0.62,7.42,1.57,18.58,609.69,43.67,0.00,12.49,0.00,8.26,9.83,4.95,4.27,23.78
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals,1200.10,51.00,69702.00,32514.48,6618.84,20.36,20.65,20.37,1.99,2.58,7.35,0.22,11.08,13147.96,523.16,5891.11,4750.60,11191.88,7.94,0.67,-0.17,1.43,12.08
Authum Invest,539177,AIIL,Finance,Non Banking Financial Company (NBFC),2875.00,57.41,48830.47,3865.32,3616.75,93.57,89.63,12.15,3.01,0.14,31.30,0.17,34.14,369.48,24.48,17.59,53.94,0.00,7.13,0.09,6.17,0.77,13.37
Avanti Feeds,512573,AVANTIFEED,Food Products,Animal Feed,821.80,52.09,11196.67,5963.96,745.01,12.49,11.30,18.10,3.72,0.55,15.68,0.00,19.53,2792.81,189.68,219.87,697.06,541.79,8.30,0.19,-0.61,0.02,14.84
Axis Bank,532215,AXISBANK,Banks,Private Sector Bank,1232.00,43.44,382534.89,129272.60,77132.26,59.67,63.58,14.72,1.93,0.57,1.78,7.28,16.30,81517.79,29815.46,0.00,0.00,0.00,6.07,1.65,-1.92,13.49,5.52
Bajaj Finance,500034,BAJFINANCE,Finance,Non Banking Financial Company (NBFC),998.00,42.89,621003.69,76194.74,52179.07,68.48,68.79,33.93,6.02,1.02,3.99,3.85,19.22,11609.47,56.70,1631.26,2054.22,0.00,5.09,-0.13,0.26,7.75,9.48
Bajaj Finserv,532978,BAJAJFINSV,Finance,Holding Company,2012.10,40.53,321496.00,141479.18,53466.32,37.79,37.01,33.21,4.20,1.33,2.96,5.13,13.39,20015.70,29.28,7937.86,7873.72,0.00,7.45,0.40,-0.29,7.51,8.33
