Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
360 ONE,542772,360ONE,INE466L01038,Capital Markets,Stockbroking & Allied,933.85,28.5,37927.24,4011.77,2449.52,61.06,64.92,32.22,4.05,1.39,6.2,1.47,20.57,1787.9,217.47,433.2,144.62,0.0,5.03,0.14,-0.36,5.43,26.69
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,439.1,39.69,19131.75,3520.63,2695.55,76.56,76.3,18.36,2.76,0.68,4.31,2.55,16.86,1641.75,-8.34,0.0,108.12,0.0,7.65,0.2,0.08,6.58,19.84
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1325.9,36.31,24898.71,24689.33,3153.91,12.77,14.07,9.89,1.25,1.49,9.46,0.02,13.23,5242.34,716.8,3678.49,2001.25,1985.75,10.36,-1.18,0.95,0.19,37.55
Adani Ports,532921,ADANIPORTS,INE742F01042,Transport Infrastructure,Port & Port services,1377.6,46.76,317393.41,36486.63,21627.4,59.27,59.53,25.12,4.73,0.92,8.59,0.85,18.76,2609.64,1904.28,5576.58,2745.72,541.02,5.11,-1.14,-0.51,3.05,13.03
Adani Power,533096,ADANIPOWER,INE814H01029,Power,Integrated Power Utilities,159.97,65.11,308497.26,54254.83,19886.27,36.65,38.11,26.93,5.28,0.71,12.46,0.83,26.1,9774.09,2156.96,9437.92,2976.65,3140.31,5.06,0.71,0.11,2.76,12.47
Aditya AMC,543374,ABSLAMC,INE404A01024,Capital Markets,Asset Management Company,917.15,51.07,26487.86,1815.63,1082.18,59.6,64.91,26.02,7.43,2.28,24.44,0.02,26.99,-5.35,316.49,59.36,84.22,0.0,5.14,0.49,-0.13,0.05,12.36
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,298.25,39.92,78129.75,44263.78,15953.88,36.04,35.13,22.02,2.43,0.9,1.32,4.86,11.49,-60389.17,518.02,389.61,1641.74,0.0,7.12,-0.85,2.55,9.64,19.24
Aegis Logistics,500003,AEGISLOG,INE208C01025,Gas,Trading - Gas,589.25,36.28,20682.68,7443.86,1236.48,16.61,16.23,26.88,3.48,1.18,8.27,0.41,15.53,2504.41,304.65,538.52,439.25,114.95,6.53,-0.84,0.99,1.8,37.74
Afcons Infrastr.,544280,AFCONS,INE101I01011,Construction,Civil Construction,283.7,44.9,10434.05,12543.26,1554.35,12.39,11.71,17.7,2.11,0.57,3.65,0.73,14.91,2666.01,287.63,2795.2,3564.31,993.06,10.77,1.66,0.0,2.48,40.82
Alembic Pharma,533573,APLLTD,INE901L01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,656.2,38.38,12898.47,7266.82,1159.51,15.96,15.11,19.44,2.42,6.11,7.99,0.28,11.38,1619.58,2.29,1313.93,887.37,2540.7,6.35,-0.13,0.19,1.64,40.77
Alivus Life,543322,ALIVUS,INE03Q201024,Pharmaceuticals & Biotechnology,Pharmaceuticals,989.6,64.09,12145.99,2512.27,781.18,31.09,28.67,21.6,4.03,4.59,15.37,0.02,18.69,1986.62,22.07,1002.85,409.92,722.51,6.22,1.66,-1.76,0.08,19.22
Amara Raja Ener.,500008,ARE&M,INE885A01032,Auto Components,Auto Components & Equipments,728.0,38.5,13324.25,13062.79,1509.33,11.55,13.17,17.64,1.71,0.89,9.28,0.04,12.34,1398.88,162.37,1228.44,1191.66,2255.25,7.79,0.88,-0.6,0.27,33.57
Angel One,543235,ANGELONE,INE732I01021,Capital Markets,Stockbroking & Allied,240.85,53.92,21938.04,4733.2,1562.04,33.0,37.85,28.51,3.77,1.22,7.78,0.77,27.07,3734.86,9.63,283.0,7590.87,0.0,9.4,3.24,-0.66,3.07,26.68
Ashok Leyland,500477,ASHOKLEY,INE208A01029,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,148.44,27.16,87191.5,53811.19,10427.68,19.38,18.97,24.18,6.93,0.09,4.47,4.33,28.82,8877.88,88.12,3406.86,6746.75,4611.09,7.19,0.14,0.09,5.55,31.09
AU Small Finance,540611,AUBANK,INE949L01017,Banks,Other Bank,868.25,41.64,64968.29,17887.79,9304.97,52.02,53.37,28.09,3.58,1.22,1.58,7.87,14.19,5735.08,3007.66,0.0,0.0,0.0,6.09,-0.64,1.95,11.6,16.45
Authum Invest,539177,AIIL,INE206F01022,Finance,Non Banking Financial Company (NBFC),419.7,38.8,35641.99,3693.87,3340.79,90.44,89.63,9.79,2.2,0.11,31.3,0.17,34.14,369.48,23.74,17.59,53.94,0.0,8.88,-0.07,0.37,0.84,38.6
Avanti Feeds,512573,AVANTIFEED,INE871C01038,Food Products,Animal Feed,1213.9,51.52,16538.86,5980.89,759.89,12.71,11.3,26.15,5.49,0.79,15.68,0.0,19.53,2792.81,213.81,219.87,697.06,541.79,5.74,-0.03,1.0,0.02,18.5
Axis Bank,532215,AXISBANK,INE238A01034,Banks,Private Sector Bank,1197.9,41.22,372328.0,130819.57,77849.31,59.51,63.58,14.18,1.81,0.55,1.78,7.4,16.3,95364.34,30207.73,0.0,0.0,0.0,5.85,-0.22,0.69,14.07,15.54
Bajaj Auto,532977,BAJAJ-AUTO,INE917I01010,Automobiles,2/3 Wheelers,8758.5,39.53,244798.18,57718.86,11709.13,20.29,18.74,27.38,7.16,2.64,15.63,0.58,22.77,-1347.55,1836.32,3099.19,7666.69,2145.55,5.01,1.29,-0.82,1.5,14.02
Bajaj Finance,500034,BAJFINANCE,INE296A01032,Finance,Non Banking Financial Company (NBFC),826.85,38.68,514505.91,79373.52,53111.16,66.91,68.79,28.25,4.98,0.85,3.99,3.85,19.22,11609.47,-231.85,1631.26,2054.22,0.0,5.79,0.47,-0.48,7.62,25.0
Bajaj Finserv,532978,BAJAJFINSV,INE918I01026,Finance,Holding Company,1640.7,30.41,262602.24,149145.43,54959.49,36.85,37.01,26.76,3.43,1.07,2.96,5.13,13.39,20015.7,-351.61,7937.86,7873.72,0.0,8.36,0.25,-0.05,7.31,25.25
Bajaj Housing,544252,BAJAJHFL,INE377Y01014,Finance,Housing Finance Company,78.0,38.58,64992.21,10764.45,9778.23,90.84,91.85,26.12,3.07,0.58,2.35,4.44,13.46,-148.78,-10.08,26.82,122.1,0.0,6.13,0.85,0.03,9.66,43.07
Bandhan Bank,541153,BANDHANBNK,INE545U01014,Banks,Private Sector Bank,146.34,37.46,23574.97,21694.54,9522.44,43.89,51.91,23.4,0.96,0.13,1.49,6.76,11.88,9601.39,2662.95,0.0,0.0,0.0,6.61,0.94,-1.12,13.64,23.97
Bank of Baroda,532134,BANKBARODA,INE028A01039,Banks,Public Sector Bank,249.56,30.81,129056.51,132604.32,83027.27,62.61,64.41,6.63,0.79,0.17,1.18,10.45,15.53,106937.68,24128.67,0.0,0.0,0.0,5.97,-0.21,1.13,16.01,23.34
Bank of India,532149,BANKINDIA,INE084A01016,Banks,Public Sector Bank,139.16,36.74,63354.93,74518.88,53019.58,71.15,71.03,6.21,0.73,0.15,0.94,11.54,12.35,63717.28,9692.57,0.0,0.0,0.0,6.16,-0.45,1.58,15.77,22.02
Bank of Maha,532525,MAHABANK,INE457A01014,Banks,Public Sector Bank,63.89,46.83,49141.34,28257.38,18659.7,66.03,62.68,7.59,1.47,0.11,1.64,10.54,22.81,9929.94,3584.64,0.0,0.0,0.0,5.7,3.44,2.57,15.82,17.03
Bharat Coking,544678,BHARATCOAL,INE05XR01022,Consumable Fuels,Coal,32.12,43.76,14958.28,13802.55,1758.25,12.74,12.74,18.96,,0.15,7.56,0.04,20.99,1707.68,597.81,1847.76,2173.27,2316.74,12.59,,,0.13,28.95
Bharti Airtel,532454,BHARTIARTL,INE397D01024,Telecom - Services,Telecom - Cellular & Fixed line services,1789.7,38.28,1090482.79,203465.8,115191.7,56.61,49.17,35.59,8.66,0.43,5.35,1.77,23.18,-104864.5,2365.5,8908.9,45232.6,429.6,5.2,0.14,1.33,3.13,17.7
Birlasoft Ltd,532400,BSOFT,INE836A01035,IT - Software,Computers - Software & Consulting,370.85,51.48,10365.49,5278.22,790.46,14.98,12.98,21.24,2.79,6.23,12.12,0.04,15.59,2554.35,47.72,1073.04,256.19,5.02,7.9,2.19,-0.34,0.19,21.76
