Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adani Green,541450,ADANIGREEN,Power,997.50,161853.92,11212.00,8889.00,79.28,79.28,97.23,12.97,1.72,2.32,6.59,14.61,783.00,1316.00,1540.00,395.00,101.00,3.32,0.46,-0.87,9.95,52.31
Addictive Learn,,LAWSIKHO,Other Consumer Services,148.60,236.42,74.86,17.47,23.34,23.34,24.23,3.06,0.13,11.53,0.00,13.45,-8.69,3.21,0.28,2.25,0.00,5.52,0.50,-0.87,0.00,66.87
Akums Drugs,544222,AKUMS,Pharmaceuticals & Biotechnology,533.05,8389.89,4118.16,464.64,11.28,11.28,26.01,2.73,0.53,8.64,0.03,17.19,1401.74,68.66,770.30,642.78,680.93,4.51,1.46,-1.53,0.25,54.67
Apollo Finvest,512437,,Finance,530.75,198.07,30.26,12.72,42.04,42.04,27.43,2.94,-1.59,8.01,0.45,11.33,0.23,0.18,0.00,0.72,0.00,5.41,0.00,0.00,2.53,50.05
Arham Tech,,ARHAM,Consumer Durables,83.35,141.03,69.89,12.68,18.14,18.14,19.38,4.52,,12.33,0.83,26.43,48.53,0.20,15.53,8.42,42.24,7.08,0.00,0.00,2.21,54.45
Artificial Elect,526443,,IT - Software,106.15,180.10,26.10,3.00,11.49,11.49,63.63,5.71,0.36,10.06,0.00,17.78,5.81,0.73,24.73,22.60,0.00,2.00,0.00,0.00,0.00,75.91
Autoline Industr,532797,AUTOIND,Auto Components,75.50,326.00,658.55,68.47,10.40,10.40,15.16,2.11,0.12,3.23,1.88,14.89,-4.80,0.19,126.71,88.73,67.22,9.32,-0.55,0.05,5.26,51.91
B & A Packaging,523186,,Industrial Products,238.65,118.36,130.88,14.28,10.91,10.91,12.04,1.44,4.76,10.02,0.02,12.55,55.42,1.77,22.24,11.44,34.81,12.48,0.00,0.00,0.14,55.26
Balaxi Pharma,,BALAXI,Pharmaceuticals & Biotechnology,49.00,270.50,292.56,37.21,12.72,12.72,10.80,1.16,-0.56,8.82,0.23,11.58,218.62,-3.72,110.80,16.18,78.48,11.13,0.00,-7.15,1.69,62.14
Beacon Trust.,,BEACON,Capital Markets,56.80,102.61,25.85,7.25,28.05,28.05,18.89,2.29,1.31,13.83,0.00,16.96,5.35,1.30,5.48,0.38,0.00,7.51,0.00,-0.70,0.02,56.97
