Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Addictive Learn,,LAWSIKHO,Other Consumer Services,E-Learning,138.00,219.55,75.39,19.62,26.02,30.64,25.18,2.67,0.14,11.21,0.00,13.08,-2.28,2.68,0.48,2.12,0.00,5.56,0.32,-1.46,0.00,65.93
All E Tech,,ALLETEC,IT - Software,Computers - Software & Consulting,228.65,461.74,138.34,30.32,21.92,21.99,15.21,2.97,0.32,18.15,0.00,22.39,136.31,12.39,19.01,8.19,0.00,12.59,0.00,-0.90,0.01,63.88
Alphalogic Tech.,542770,,IT - Software,Computers - Software & Consulting,67.69,423.85,63.57,7.83,12.32,9.09,86.32,8.54,1.82,10.42,0.10,11.49,45.54,1.79,15.13,8.85,2.29,2.18,0.00,0.00,0.53,53.32
Apollo Finvest,512437,,Finance,Non Banking Financial Company (NBFC),446.90,166.78,26.12,10.73,41.08,42.33,25.66,2.34,-1.51,8.09,0.30,11.44,-7.49,2.16,0.00,0.72,0.00,6.40,0.00,0.08,1.79,50.84
Artificial Elect,526443,,IT - Software,Software Products,185.60,314.89,61.20,15.64,25.56,11.49,24.58,7.51,0.14,10.06,0.00,17.78,40.55,1.44,49.72,48.37,4.95,5.44,0.00,0.00,0.00,57.88
BEW Engg,,BEWLTD,Industrial Manufacturing,Industrial Products,130.90,171.13,170.36,21.49,12.61,15.24,13.85,1.19,0.47,6.34,0.44,11.70,109.44,0.70,41.00,31.61,145.07,9.11,0.00,0.00,3.00,55.63
Bharat Road,540700,BRNL,Construction,Civil Construction,25.62,215.08,342.28,163.37,47.73,20.63,1.20,0.52,0.03,6.47,1.05,53.67,278.70,83.88,0.19,3.72,0.00,99.76,0.00,-0.01,2.34,52.46
CapitalNumbers,544343,,IT - Software,Computers - Software & Consulting,115.45,282.01,102.21,26.33,25.76,29.80,10.48,1.64,0.81,18.93,0.00,20.00,160.62,10.92,8.46,0.81,0.00,18.54,-0.87,-1.50,0.00,57.86
Captain Techno.,540652,,Industrial Manufacturing,Industrial Products,159.50,370.36,113.70,16.60,14.60,12.71,33.31,7.88,0.77,15.80,0.48,25.03,11.04,1.73,29.26,17.43,10.47,4.22,0.00,0.00,1.37,50.47
Cenlub Industrie,522251,,Industrial Manufacturing,Industrial Products,252.10,117.55,72.49,10.06,13.88,15.85,14.58,1.73,1.75,10.56,0.06,14.72,5.10,2.71,12.05,8.87,8.72,10.01,0.00,0.00,0.36,57.48
Chavda Infra Ltd,,CHAVDA,Construction,Civil Construction,88.95,219.32,250.28,59.78,23.89,21.59,11.12,1.82,0.19,6.77,1.40,20.27,121.45,2.00,103.28,74.94,92.19,11.37,-0.50,-0.16,3.92,52.18
Chemtech Indust.,537326,,Industrial Manufacturing,Industrial Products,99.20,177.94,35.27,6.43,18.23,19.83,23.66,1.78,0.16,9.04,0.00,10.74,74.60,5.22,4.40,2.78,3.10,9.60,0.05,0.00,0.00,61.48
Chetana Educa.,,CHETANA,Printing & Publication,Printing & Publication,62.35,127.19,102.93,19.42,18.87,22.72,9.90,1.44,,12.58,0.06,25.94,83.44,0.23,67.63,1.98,20.78,14.17,-1.40,0.94,0.26,51.67
Cohance Life,543064,COHANCE,Pharmaceuticals & Biotechnology,Pharmaceuticals,611.45,23392.07,2252.45,579.88,25.74,31.34,68.10,6.18,-4.20,8.86,0.12,12.67,1177.66,33.65,589.69,313.28,592.88,2.00,9.41,-0.72,0.95,55.04
Concord Enviro,544315,CEWATER,Other Utilities,Waste Management,421.65,872.66,557.05,67.94,12.20,15.66,16.69,1.59,0.36,6.98,0.30,12.03,371.38,17.72,179.31,145.70,201.33,8.21,-0.90,-0.01,2.14,50.97
Credo Brands,544058,MUFTI,Retailing,Speciality Retail,101.91,666.19,592.40,167.91,28.34,29.29,11.62,1.60,0.44,9.36,0.58,18.41,303.28,7.88,269.01,22.75,105.25,11.57,-1.29,-0.04,2.36,52.34
Danlaw Tech.,532329,,Industrial Manufacturing,Industrial Products,898.85,437.80,237.35,34.83,14.67,14.74,22.00,5.11,0.18,13.19,0.37,28.31,68.49,1.00,49.89,28.61,36.47,6.51,0.00,0.00,1.09,50.25
De Neers Tools,,DENEERS,Industrial Products,Iron & Steel Products,151.05,130.00,142.50,28.16,19.76,19.30,7.37,1.59,0.14,11.87,0.77,32.56,110.39,0.87,39.62,13.85,114.36,14.66,1.51,-0.77,2.23,59.70
DJ Mediaprint,543193,DJML,Transport Services,Logistics Solution Provider,69.22,228.27,91.57,18.14,19.81,21.84,30.36,3.54,1.03,8.13,0.28,13.49,39.32,0.22,25.66,15.98,19.79,4.85,-0.03,-0.16,1.51,67.36
Dynamic Services,,DYNAMIC,Commercial Services & Supplies,Diversified Commercial Services,94.35,129.70,347.25,49.12,14.15,13.61,5.67,0.70,0.06,7.60,0.64,12.47,91.91,2.21,89.52,13.71,27.97,21.04,0.00,-0.05,2.38,76.67
Easy Trip Plann.,543272,EASEMYTRIP,Leisure Services,"Tour, Travel Related Services",7.71,2804.01,522.18,64.87,12.42,24.74,51.86,3.24,115.24,10.70,0.04,16.21,410.27,-19.97,257.93,106.18,2.87,2.59,0.01,-2.09,0.51,59.44
Electrost.Cast.,500128,ELECTCAST,Industrial Products,Iron & Steel Products,79.90,4939.29,6433.74,677.61,10.53,14.34,9.96,0.84,0.36,7.62,0.38,13.15,1971.69,201.01,1283.78,601.47,2730.56,11.00,0.04,-1.01,3.08,53.34
EMS,543983,EMSLIMITED,Other Utilities,Waste Management,468.35,2600.79,926.49,226.20,24.41,26.31,15.93,2.50,0.48,17.21,0.16,20.69,705.51,12.58,398.78,27.78,102.46,8.70,-0.05,-0.02,0.72,53.94
Frog Cellsat,,FROG,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,170.00,264.42,219.39,35.57,16.21,16.21,15.36,1.66,0.90,12.08,0.08,16.07,69.32,2.84,44.16,21.01,35.77,12.55,0.12,-0.09,0.37,62.88
G M Polyplast,543239,,Industrial Products,Plastic Products - Industrial,80.00,107.68,97.86,11.62,11.87,12.17,14.71,2.52,0.69,16.52,0.05,20.97,34.04,0.06,19.48,4.77,14.53,9.77,0.00,0.00,0.20,52.91
Genesys Intl.,506109,GENESYS,IT - Services,IT Enabled Services,451.30,1885.09,331.07,151.83,45.86,46.00,32.10,2.76,-9.70,7.94,0.21,10.76,390.92,7.06,209.38,33.94,0.00,5.03,-0.04,-0.15,1.51,57.22
Gensol Engineer.,542851,GENSOL,Electrical Equipment,Other Electrical Equipment,32.16,123.64,1451.84,329.58,22.70,23.86,1.20,0.21,0.01,3.16,2.33,22.38,224.48,3.86,308.51,167.81,3.88,23.74,0.14,4.25,4.66,96.30
Go Fashion (I),543401,GOCOLORS,Retailing,Speciality Retail,539.80,2915.40,866.54,267.57,30.88,31.95,33.03,3.93,0.86,7.65,0.72,14.32,441.59,24.99,126.23,38.20,241.67,5.04,0.43,-1.08,3.25,53.14
Indian Emuls,,IEML,Chemicals & Petrochemicals,Specialty Chemicals,107.20,196.53,126.71,24.47,19.31,19.38,11.85,2.13,0.02,14.67,0.35,24.08,64.26,0.52,58.94,10.77,28.01,10.11,-0.88,-0.02,1.43,57.26
