Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adcounty Media.,544435,,Media,Web based media and service,114.70,29.07,258.09,72.73,19.67,27.05,26.49,16.40,2.71,0.18,35.51,0.01,47.28,75.90,2.20,44.68,7.37,0.00,9.68,3.90,0.95,0.04,59.33
Addictive Learn,,ADDICTIVE,Other Consumer Services,E-Learning,132.00,64.61,210.01,75.39,19.62,26.02,30.64,24.08,2.55,0.14,11.21,0.00,13.08,-2.28,2.68,0.48,2.12,0.00,5.82,0.32,-1.46,0.00,64.32
Adit.Birla Money,532974,BIRLAMONEY,Capital Markets,Stockbroking & Allied,147.10,36.29,831.25,424.71,206.41,48.60,50.53,14.67,3.11,0.35,3.24,6.58,37.21,385.08,10.81,34.66,20.78,0.00,11.61,0.00,0.04,8.53,51.19
All E Tech,,ALLETEC,IT - Software,Computers - Software & Consulting,219.20,43.10,442.66,138.34,30.32,21.92,21.99,14.58,2.85,0.31,18.15,0.00,22.39,136.31,12.39,19.01,8.19,0.00,13.38,0.00,-0.90,0.01,60.93
Alphalogic Tech.,542770,,IT - Software,Computers - Software & Consulting,63.53,42.30,397.77,63.57,7.83,12.32,9.09,81.01,8.01,1.70,10.42,0.10,11.49,45.54,1.79,15.13,8.85,2.29,2.32,0.00,0.00,0.53,55.15
Antelopus Selan,530075,ANTELOPUS,Oil,Oil Exploration & Production,422.85,47.86,1486.84,231.46,108.87,47.04,52.57,26.40,2.53,0.28,13.99,0.01,17.18,162.06,12.62,34.40,7.86,34.83,5.43,0.00,-2.21,0.05,51.89
Apollo Finvest,512437,,Finance,Non Banking Financial Company (NBFC),415.50,50.37,155.09,26.12,10.73,41.08,42.33,23.86,2.17,-1.41,8.09,0.30,11.44,-7.49,2.16,0.00,0.72,0.00,6.82,0.00,0.08,1.79,52.66
Artificial Elect,526443,,IT - Software,Software Products,137.45,38.56,233.20,61.20,15.64,25.56,11.49,18.20,5.56,0.10,10.06,0.00,17.78,40.55,1.44,49.72,48.37,4.95,7.35,-0.01,0.00,0.00,66.20
Atmastco Ltd,,ATMASTCO,Construction,Civil Construction,139.55,20.33,345.17,272.00,39.93,14.68,15.37,20.10,2.47,0.24,5.58,0.62,16.78,114.64,0.44,95.19,84.71,145.97,8.93,-0.36,0.00,2.38,53.61
AVP Infracon,,AVPINFRA,Construction,Civil Construction,124.40,37.91,310.74,369.67,74.84,20.25,20.28,7.14,1.95,0.07,12.64,1.14,30.20,79.37,4.14,85.02,20.02,81.79,16.61,0.10,-0.03,2.46,52.93
BEW Engg,,BEWLTD,Industrial Manufacturing,Industrial Products,121.90,48.63,159.36,170.36,21.49,12.61,15.24,12.89,1.11,0.44,6.34,0.44,11.70,109.44,0.70,41.00,31.61,145.07,9.60,0.00,0.00,3.00,58.68
Bharat Road,540700,BRNL,Construction,Civil Construction,22.33,40.34,187.46,342.28,163.37,47.73,20.63,1.04,0.45,0.03,6.47,1.05,53.67,278.70,83.88,0.19,3.72,0.00,117.16,0.00,-0.01,2.34,58.56
Bodhi Tree,543767,BTML,Entertainment,Digital Entertainment,8.07,42.04,145.66,98.60,12.41,12.59,10.48,21.71,1.81,1.47,6.41,0.32,16.26,35.85,1.14,13.72,16.03,21.67,7.87,-0.01,0.06,1.96,54.56
C2C Advanced,,C2C,Aerospace & Defense,Aerospace & Defense,474.90,39.08,805.83,137.99,57.18,41.44,36.01,18.84,3.57,0.13,16.56,0.22,21.05,188.15,4.11,166.92,2.14,56.88,6.87,-1.86,-0.06,0.82,50.22
CapitalNumbers,544343,,IT - Software,Computers - Software & Consulting,103.55,33.80,252.94,102.21,26.33,25.76,29.80,9.40,1.47,0.73,18.93,0.00,20.00,160.62,10.92,8.46,0.81,0.00,21.84,-0.87,-1.50,0.00,62.21
Captain Techno.,540652,,Industrial Manufacturing,Industrial Products,148.00,35.80,343.66,113.70,16.60,14.60,12.71,30.90,7.31,0.72,15.80,0.48,25.03,11.04,1.73,29.26,17.43,10.47,4.53,0.00,0.00,1.37,54.04
Ceinsys Tech,538734,,IT - Software,Computers - Software & Consulting,1015.05,50.11,1810.97,574.23,113.89,19.83,19.19,18.66,3.88,0.21,13.91,0.16,19.46,336.03,27.68,172.91,132.63,0.84,7.52,0.03,-0.11,0.58,51.78
Cenlub Industrie,522251,,Industrial Manufacturing,Industrial Products,238.50,51.55,111.21,72.49,10.06,13.88,15.85,13.80,1.63,1.66,10.56,0.06,14.72,5.10,2.71,12.05,8.87,8.72,10.58,0.00,0.00,0.36,56.23
Chatterbox Tech,544546,,Media,Advertising & Media Agencies,73.10,25.75,103.39,68.14,13.52,19.84,20.02,10.55,,0.08,27.75,0.00,41.77,27.49,0.19,18.15,15.35,0.00,14.87,,,0.00,53.37
Chemkart India,544442,,Food Products,Other Food Products,116.70,23.47,141.20,193.38,26.80,13.86,16.12,7.41,1.16,0.12,34.75,0.01,58.97,112.18,1.38,56.19,10.28,22.81,27.79,,,0.05,55.46
Chemtech Indust.,537326,,Industrial Manufacturing,Industrial Products,80.31,26.62,144.05,35.27,6.43,18.23,19.83,19.16,1.45,0.13,9.04,0.00,10.74,74.60,5.22,4.40,2.78,3.10,13.82,0.05,0.00,0.00,65.86
Chetana Educa.,,CHETANA,Printing & Publication,Printing & Publication,55.00,41.81,112.20,102.93,19.42,18.87,22.72,8.73,1.27,,12.58,0.06,25.94,83.44,0.23,67.63,1.98,20.78,15.99,-1.40,0.94,0.26,57.36
Cohance Life,543064,COHANCE,Pharmaceuticals & Biotechnology,Pharmaceuticals,535.45,31.40,20484.56,2252.45,579.88,25.74,31.34,59.63,5.41,-3.68,8.86,0.12,12.67,1177.66,33.65,589.69,313.28,592.88,2.27,9.41,-0.72,0.95,59.69
Dam Capital Advi,544316,DAMCAPITAL,Capital Markets,Stockbroking & Allied,214.89,45.35,1518.97,278.28,165.75,59.56,58.51,13.54,4.90,0.20,33.97,0.01,49.22,210.57,0.06,94.72,45.72,0.00,12.04,0.05,-0.06,0.03,52.97
Danlaw Tech.,532329,,Industrial Manufacturing,Industrial Products,789.65,50.32,384.61,237.35,34.83,14.67,14.74,19.33,4.49,0.16,13.19,0.37,28.31,68.49,1.00,49.89,28.61,36.47,7.40,0.00,0.00,1.09,51.23
De Neers Tools,,DENEERS,Industrial Products,Iron & Steel Products,159.10,49.61,136.93,142.50,28.16,19.76,19.30,7.76,1.68,0.15,11.87,0.77,32.56,110.39,0.87,39.62,13.85,114.36,14.15,1.51,-0.77,2.23,57.55
DJ Mediaprint,543193,DJML,Transport Services,Logistics Solution Provider,68.79,50.21,236.49,91.57,18.14,19.81,21.84,31.45,3.20,1.06,8.13,0.23,13.49,50.19,0.22,29.34,2.43,27.56,4.74,-0.03,-0.16,1.36,62.60
Dynamic Services,,DYNAMIC,Commercial Services & Supplies,Diversified Commercial Services,111.35,51.49,153.06,347.25,49.12,14.15,13.61,6.69,0.78,0.07,7.60,0.76,12.47,108.40,2.21,111.92,15.46,48.32,18.10,0.00,-0.05,2.98,71.58
Easy Trip Plann.,543272,EASEMYTRIP,Leisure Services,"Tour, Travel Related Services",7.59,46.56,2760.37,522.18,64.87,12.42,24.74,51.05,3.19,113.44,10.70,0.04,16.21,410.27,-19.97,257.93,106.18,2.87,2.63,0.01,-2.09,0.51,58.41
Eco Recyc.,530643,,Other Utilities,Waste Management,471.25,45.05,909.36,43.35,25.83,59.58,70.66,44.36,8.98,0.31,23.12,0.07,84.05,43.87,3.71,12.82,2.05,10.66,3.14,-0.04,-0.02,0.24,54.02
Emerald Finance,538882,,Finance,Non Banking Financial Company (NBFC),73.26,35.17,253.04,25.78,18.89,73.27,70.34,21.23,2.79,0.40,10.60,0.17,13.76,106.31,0.09,4.20,0.00,0.00,7.17,0.00,-4.22,0.79,56.30
EMS,543983,EMSLIMITED,Other Utilities,Waste Management,442.65,48.41,2458.07,926.49,226.20,24.41,26.31,15.06,2.36,0.46,17.21,0.16,20.69,705.51,12.58,398.78,27.78,102.46,9.20,-0.05,-0.02,0.72,51.89
Espire Hospi,532016,,Leisure Services,Hotels & Resorts,272.00,50.26,405.90,132.43,21.88,16.52,18.80,135.30,10.36,0.36,6.59,3.26,35.33,51.26,0.60,2.82,13.28,0.31,2.84,0.00,0.00,8.47,56.13
