Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adcounty Media.,544435,,INE0W1601012,Media,Web based media and service,118.25,41.26,266.08,77.23,21.92,28.38,26.49,15.08,2.80,0.17,35.51,0.01,47.28,75.90,2.58,44.68,7.37,0.00,10.47,-1.57,-0.84,0.03,58.07
Aesthetik Engi.,,AESTHETIK,INE0TSF01011,Construction,Civil Construction,73.35,27.86,126.31,78.14,12.86,16.46,13.15,14.97,2.63,,11.68,0.32,18.36,24.85,0.83,16.10,5.58,18.78,8.97,-1.15,-0.03,1.22,52.86
All E Tech,,ALLETEC,INE0M2X01012,IT - Software,Computers - Software & Consulting,149.40,28.65,301.70,138.05,29.53,21.39,21.99,9.97,1.94,0.21,18.15,0.00,22.39,136.31,11.92,19.01,8.19,0.00,24.89,0.00,-0.90,0.01,68.58
Alpex Solar,,ALPEXSOLAR,INE0R4701017,Electrical Equipment,Other Electrical Equipment,721.15,37.98,1842.04,1878.71,284.30,15.13,16.18,9.94,3.90,0.01,23.71,0.37,47.72,338.75,4.86,235.67,123.77,189.17,14.51,0.06,0.43,0.64,50.26
Alphalogic Tech.,542770,,INE08E401029,IT - Software,Computers - Software & Consulting,36.90,28.51,231.04,52.43,8.54,16.29,9.09,45.84,4.65,0.96,10.42,0.10,11.49,45.54,1.87,15.13,8.85,2.29,4.23,0.00,0.00,0.50,70.73
Amal,506597,,INE841D01013,Chemicals & Petrochemicals,Specialty Chemicals,474.35,35.56,586.43,202.86,38.80,19.13,32.27,21.51,5.17,0.11,25.97,0.00,35.03,34.31,1.78,19.26,13.79,5.29,5.35,0.00,0.00,0.00,58.68
Apollo Finvest,512437,,INE412D01013,Finance,Non Banking Financial Company (NBFC),355.70,38.26,132.77,22.93,11.21,48.89,42.33,19.19,1.86,-1.13,8.09,0.30,11.44,-7.49,2.25,0.00,0.72,0.00,8.20,0.00,0.00,1.70,59.47
Arrow Greentech,516064,ARROWGREEN,INE570D01018,Industrial Products,Packaging,387.25,31.97,582.59,216.02,70.25,32.52,36.42,11.34,2.76,0.11,35.18,0.01,39.57,168.00,7.91,12.22,7.23,23.61,13.41,0.10,0.02,0.04,52.66
Artificial Elect,526443,,INE072B01027,IT - Software,Software Products,107.05,37.75,296.20,108.21,33.32,30.79,11.49,11.69,6.82,0.07,10.06,0.00,17.78,40.55,1.47,49.72,48.37,4.95,11.51,-0.01,0.00,0.00,71.66
ASM Technologies,526433,,INE867C01010,IT - Software,Computers - Software & Consulting,2211.90,28.46,3226.42,507.91,100.96,19.88,16.39,52.86,10.95,2.43,9.39,0.18,16.85,200.50,2.88,126.51,27.95,38.79,2.90,0.28,-0.03,0.57,51.87
Australian Prem,,APS,INE0P0001010,Electrical Equipment,Heavy Electrical Equipment,290.20,32.91,585.04,570.41,78.67,13.79,12.90,10.80,4.38,0.08,27.13,0.23,57.82,99.13,2.22,107.60,71.04,29.97,12.68,0.45,-0.79,0.42,55.63
Autoriders Intl.,512277,,INE340U01010,Transport Services,Logistics Solution Provider,463.10,41.33,161.19,96.93,27.50,28.37,28.79,16.57,3.00,0.42,10.00,0.34,19.99,3.26,1.28,18.24,4.98,0.00,8.93,0.00,0.00,1.16,55.08
AVP Infracon,,AVPINFRA,INE0R9401019,Construction,Civil Construction,93.00,37.43,232.31,369.67,74.84,20.25,20.28,5.34,1.46,0.05,12.64,1.14,30.20,79.37,4.14,85.02,20.02,81.79,20.17,0.10,-0.03,2.46,57.34
AWFIS Space,544181,AWFIS,INE108V01019,Commercial Services & Supplies,Diversified Commercial Services,273.05,21.65,1957.21,1423.03,513.97,36.12,33.70,33.37,3.91,0.81,2.44,2.91,26.07,-270.82,93.58,122.33,257.89,0.64,7.30,-1.62,2.30,5.97,62.02
Bajaj Healthcare,539872,BAJAJHCARE,INE411U01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,321.25,27.08,1012.43,612.44,93.91,15.33,15.28,19.35,2.09,-1.09,4.98,0.49,10.69,187.63,15.22,231.94,82.79,156.31,6.81,-0.03,0.06,2.83,56.88
Bajaj Steel Inds,507944,,INE704G01024,Industrial Manufacturing,Industrial Products,410.35,38.71,853.53,560.92,78.83,14.05,15.90,16.21,2.06,0.78,11.01,0.12,17.87,192.54,13.26,36.31,69.31,161.51,9.26,0.00,-0.02,0.66,52.83
Basilic Fly Stud,,BASILIC,INE0OCC01013,Entertainment,Media & Entertainment,202.30,20.88,511.11,417.47,84.91,20.34,21.30,9.41,1.65,0.04,21.82,0.21,24.79,250.68,-2.26,112.05,9.89,0.00,17.07,-0.59,-0.03,0.84,60.32
Bemco Hydraulics,522650,,INE142E01022,Industrial Manufacturing,Industrial Products,79.52,40.96,347.77,98.56,21.94,22.26,20.29,23.61,4.63,0.81,9.71,0.21,19.89,20.50,1.27,26.86,16.54,29.84,6.04,0.00,0.00,0.74,57.75
BEW Engg,,BEWLTD,INE0HQI01014,Industrial Manufacturing,Industrial Products,97.55,43.63,127.53,170.36,21.49,12.61,15.24,10.32,0.88,0.35,6.34,0.44,11.70,109.44,0.70,41.00,31.61,145.07,11.23,0.00,0.00,3.00,59.32
Bhadora Indust.,,BHADORA,INE0ZRC01017,Industrial Products,Cables - Electricals,64.00,43.42,119.04,111.27,16.03,14.41,15.52,11.72,1.58,0.06,28.92,0.13,69.41,69.40,0.66,32.02,5.89,16.00,14.96,0.03,-1.09,0.62,50.33
Bharat Rasayan,590021,BHARATRAS,INE838B01021,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,1415.80,24.74,2358.04,1240.35,189.20,15.25,14.95,16.62,2.00,-1.26,8.99,0.08,11.09,894.53,18.46,483.40,120.28,298.62,8.09,-0.23,-0.04,0.47,53.28
Bharat Road,540700,BRNL,INE727S01012,Construction,Civil Construction,18.37,29.11,154.95,152.66,20.46,13.40,20.63,5.41,0.37,0.15,6.47,1.05,53.67,278.70,85.34,0.19,3.72,0.00,35.22,0.00,0.00,9.80,53.81
Blue Jet Health,544009,BLUEJET,INE0KBH01020,Pharmaceuticals & Biotechnology,Pharmaceuticals,376.45,39.10,6512.33,1053.10,362.80,34.45,36.67,22.18,5.20,1.22,24.16,0.02,30.24,748.98,57.96,311.83,40.65,196.79,6.29,1.02,-0.69,0.05,63.39
Brigade Enterpr.,532929,BRIGADE,INE791I01019,Realty,"Residential, Commercial Projects",655.90,22.97,16029.89,5700.01,1477.73,25.93,28.00,21.14,2.47,0.45,3.39,0.83,14.92,2662.87,199.08,625.85,1003.99,10443.57,7.29,0.27,-0.53,3.87,50.77
C.E. Info System,543425,MAPMYINDIA,INE0BV301023,IT - Software,Software Products,1008.70,17.51,5524.97,472.61,160.30,33.92,37.99,41.87,6.63,1.63,14.74,0.01,17.62,432.31,57.89,174.44,62.90,10.71,3.49,0.88,-0.73,0.05,53.45
C2C Advanced,,C2C,INE0U7V01015,Aerospace & Defense,Aerospace & Defense,334.45,31.84,567.51,137.99,57.18,41.44,36.01,13.27,2.52,0.09,16.56,0.22,21.05,188.15,4.11,166.92,2.14,56.88,9.53,-1.86,-0.06,0.82,62.34
CapitalNumbers,544343,,INE0WXM01011,IT - Software,Computers - Software & Consulting,84.34,30.71,206.02,102.21,26.33,25.76,29.80,7.66,1.20,0.59,18.93,0.00,20.00,160.62,10.92,8.46,0.81,0.00,30.64,-0.87,-1.50,0.00,61.44
Ceinsys Tech,538734,,INE016Q01014,IT - Software,Computers - Software & Consulting,897.95,35.98,1609.88,632.38,132.56,20.96,19.19,13.51,3.43,0.15,13.91,0.16,19.46,336.03,27.20,172.91,132.63,0.84,9.76,-0.75,-0.23,0.50,54.00
Chemkart India,544442,,INE0VWL01017,Food Products,Other Food Products,99.30,37.56,120.15,193.38,26.80,13.86,16.12,6.31,0.99,0.10,34.75,0.01,58.97,112.18,1.38,56.19,10.28,22.81,35.33,,,0.05,62.10
Chemtech Indust.,537326,,INE212P01011,Industrial Manufacturing,Industrial Products,64.40,38.45,115.51,32.47,5.12,15.77,19.83,18.60,1.16,0.13,9.04,0.00,10.74,74.60,5.36,4.40,2.78,3.10,19.37,0.00,0.00,0.00,57.04
Clean Science,543318,CLEAN,INE227W01023,Chemicals & Petrochemicals,Specialty Chemicals,741.95,39.00,7908.62,863.60,368.98,42.73,43.31,29.11,5.07,3.41,19.65,0.00,21.88,468.31,38.94,145.65,69.96,104.64,4.60,0.79,-1.13,0.00,53.63
Cohance Life,543064,COHANCE,INE03QK01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,298.15,26.46,11387.46,2489.85,557.53,22.39,31.34,37.87,3.01,-2.34,8.86,0.12,12.67,1177.66,19.24,589.69,313.28,592.88,3.54,0.76,-0.50,1.09,76.15
Concord Enviro,544315,CEWATER,INE037Z01029,Other Utilities,Waste Management,276.35,19.85,571.45,558.81,67.98,12.17,15.66,10.27,1.04,0.22,6.98,0.30,12.03,371.38,18.69,179.31,145.70,201.33,12.64,-0.63,-0.68,2.05,58.42
Credo Brands,544058,MUFTI,INE220Q01020,Retailing,Speciality Retail,82.56,35.66,540.15,583.01,153.78,26.38,29.29,11.49,1.30,0.43,9.36,0.58,18.41,303.28,8.11,269.01,22.75,105.25,11.73,-0.02,-0.07,2.71,56.32
Dam Capital Advi,544316,DAMCAPITAL,INE284H01025,Capital Markets,Stockbroking & Allied,140.24,23.17,987.93,244.24,127.65,52.26,58.51,12.24,3.20,0.18,33.97,0.01,49.22,210.57,0.03,94.72,45.72,0.00,15.14,-0.56,0.05,0.03,53.82
Danlaw Tech.,532329,,INE310B01013,Industrial Manufacturing,Industrial Products,559.35,24.66,272.44,244.23,34.96,14.31,14.74,13.64,3.18,0.11,13.19,0.37,28.31,68.49,1.01,49.89,28.61,36.47,10.34,0.00,0.00,1.09,53.39
De Neers Tools,,DENEERS,INE0JWV01011,Industrial Products,Iron & Steel Products,140.50,40.25,120.92,142.50,28.16,19.76,19.30,6.85,1.48,0.13,11.87,0.77,32.56,110.39,0.87,39.62,13.85,114.36,15.39,1.51,-0.77,2.23,62.51
Deepak Builders,544276,DBEIL,INE0OPA01019,Construction,Civil Construction,73.06,21.47,337.30,542.35,76.68,14.14,19.20,9.28,0.80,0.20,8.16,0.35,19.81,404.62,5.37,100.81,100.40,387.34,15.57,0.00,-0.33,2.02,60.64
Denta Water,544345,DENTA,INE0R4L01018,Other Utilities,Water Supply & Management,237.95,30.21,636.91,249.22,80.13,32.15,33.54,9.73,1.46,0.86,16.27,0.03,18.43,334.49,10.30,63.56,6.48,106.60,15.89,-1.27,-0.25,0.15,50.39
Digitide Solutio,544413,DIGITIDE,INE0U4701011,IT - Services,IT Enabled Services,89.05,27.33,1328.97,1898.94,201.18,10.59,14.07,18.28,1.49,,,0.33,14.95,170.01,-33.68,308.13,31.14,0.00,7.39,0.12,-0.41,2.47,68.16
DRC Systems,543268,DRCSYSTEMS,INE03RS01027,IT - Software,Computers - Software & Consulting,13.73,30.12,196.90,85.23,26.03,30.54,31.95,10.18,2.61,0.06,16.93,0.04,26.81,10.19,0.28,10.09,8.73,0.00,10.68,-0.02,-0.01,0.14,55.71
Eco Recyc.,530643,,INE316A01038,Other Utilities,Waste Management,334.80,24.77,646.05,39.34,22.73,57.78,70.66,36.75,6.38,0.26,23.12,0.07,84.05,43.87,5.31,12.82,2.05,10.66,4.19,0.00,-0.19,0.25,53.76
Ecos (India),544239,ECOSMOBLTY,INE06HJ01020,Transport Services,Road Transport,137.35,24.14,822.32,753.68,95.12,12.62,14.50,13.89,3.58,0.16,17.86,0.03,28.31,171.07,10.64,92.92,87.09,0.00,9.90,0.74,-3.06,0.10,61.68
Ellen.Indl.Gas,544421,ELLEN,INE236E01022,Chemicals & Petrochemicals,Industrial Gases,219.31,29.39,3099.35,336.62,113.65,33.76,35.15,31.06,3.35,1.30,10.57,0.13,17.76,183.51,46.89,77.29,10.19,13.23,4.48,1.05,-0.37,0.86,65.61
EMS,543983,EMSLIMITED,INE0OV601013,Other Utilities,Waste Management,273.95,28.69,1521.54,882.57,186.86,21.17,26.31,11.57,1.46,0.35,17.21,0.16,20.69,705.51,11.47,398.78,27.78,102.46,12.15,-0.31,0.06,0.88,60.61
eMudhra,543533,EMUDHRA,INE01QM01018,IT - Services,IT Enabled Services,429.55,28.90,3557.59,655.07,151.80,23.17,23.86,34.63,4.38,1.29,10.78,0.02,12.08,245.83,10.83,172.38,46.13,4.34,3.74,0.01,0.01,0.13,52.69
Enser,,ENSER,INE0R9I01021,IT - Services,IT Enabled Services,11.95,42.46,104.15,66.96,15.22,22.73,18.73,14.07,2.74,0.12,15.88,0.75,27.47,22.53,0.17,28.01,6.11,0.30,10.44,-0.46,0.00,2.25,50.72
Enviro Infra,544290,EIEL,INE0LLY01014,Other Utilities,Water Supply & Management,143.59,24.75,2516.97,1111.21,296.35,26.67,25.12,11.95,2.21,0.17,15.67,0.26,27.39,829.33,33.04,126.51,40.09,16.86,13.08,-0.23,-0.02,0.92,53.14
EPack PrefabTech,544540,EPACKPEB,INE0MLS01022,Industrial Manufacturing,Industrial Products,167.87,28.95,1685.02,1385.12,148.83,10.74,10.23,20.46,2.44,0.43,7.69,0.32,22.77,488.12,14.81,264.70,327.82,184.07,10.15,-5.33,-1.24,1.56,51.20
Epigral,543332,EPIGRAL,INE071N01016,Chemicals & Petrochemicals,Specialty Chemicals,858.00,26.63,3700.46,2418.65,571.87,23.64,27.87,10.96,1.76,0.94,11.84,0.26,22.30,158.49,18.95,226.67,165.40,344.18,10.19,0.20,-0.35,1.25,59.42
Escorp Asset Mgt,540455,,INE953W01016,Finance,Other Financial Services,105.05,36.68,116.78,4.76,4.30,90.34,97.55,25.11,1.65,0.62,26.65,0.00,28.07,21.66,1.29,0.02,0.04,0.00,5.81,0.00,0.00,0.00,50.67
Espire Hospi,532016,,INE176O01011,Leisure Services,Hotels & Resorts,285.50,44.03,426.04,132.21,28.13,21.28,18.80,50.72,10.87,0.14,6.59,3.26,35.33,51.26,0.98,2.82,13.28,0.31,3.94,0.00,0.00,5.89,53.95
Five-Star Bus.Fi,543663,FIVESTAR,INE128S01021,Finance,Non Banking Financial Company (NBFC),399.45,22.28,11770.78,3153.46,2217.59,70.32,74.26,10.62,1.73,0.32,8.22,1.23,18.65,2095.00,26.22,0.00,29.12,0.00,12.32,2.58,-2.85,3.79,53.03
