Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
Aaradhya Dis.,,AARADHYA,INE124401014,"Paper, Forest & Jute Products",Paper & Paper Products,88.0,36.89,124.41,113.69,18.02,15.85,15.85,9.73,1.59,0.08,13.3,0.51,44.46,64.42,2.26,40.86,5.0,38.4,12.13,-0.01,0.0,2.23,0.0,51.65
Aaron Industries,,AARON,INE721Z01010,Industrial Manufacturing,Industrial Products,123.7,29.34,259.12,92.01,17.69,19.23,19.23,38.12,5.3,4.77,7.82,0.57,14.84,9.66,0.2,7.01,7.67,24.42,4.91,0.0,0.0,1.98,0.49,52.05
AB Cotspin,544522.0,ABCOTS,INE08PH01015,Textiles & Apparels,Other Textile Products,219.75,15.28,482.69,279.41,38.05,13.62,10.04,36.59,3.3,2.67,4.11,0.93,11.16,78.54,3.82,57.25,9.24,74.11,4.77,0.0,0.0,4.67,0.0,56.74
Adcounty Media.,544435.0,,INE0W1601012,Media,Web based media and service,121.0,40.78,272.27,77.23,21.92,28.38,26.49,15.42,2.85,0.17,35.51,0.01,47.28,75.9,2.58,44.68,7.37,0.0,10.69,-0.43,0.19,0.03,0.0,57.09
Addictive Learn,,ADDICTIVE,INE0RDH01021,Other Consumer Services,E-Learning,70.85,33.55,112.72,75.39,19.62,26.02,30.64,12.94,1.38,0.07,11.21,0.0,13.08,-2.28,2.68,0.48,2.12,0.0,11.69,-0.04,-0.01,0.0,0.0,59.78
Aesthetik Engi.,,AESTHETIK,INE0TSF01011,Construction,Civil Construction,73.0,51.54,125.7,78.14,12.86,16.46,13.15,14.89,2.63,,11.68,0.32,18.36,24.85,0.83,16.1,5.58,18.78,8.64,0.0,0.0,1.22,0.0,53.08
All E Tech,,ALLETEC,INE0M2X01012,IT - Software,Computers - Software & Consulting,152.0,38.84,306.97,138.05,29.53,21.39,21.99,10.13,1.97,0.22,18.15,0.0,22.39,136.31,11.92,19.01,8.19,0.0,25.92,-0.48,-0.21,0.01,0.99,68.03
Alphalogic Tech.,542770.0,,INE08E401029,IT - Software,Computers - Software & Consulting,54.85,48.97,343.44,52.43,8.54,16.29,9.09,68.13,6.91,1.43,10.42,0.1,11.49,45.54,1.87,15.13,8.85,2.29,2.96,0.0,0.0,0.5,0.0,56.49
Amal,506597.0,,INE841D01013,Chemicals & Petrochemicals,Specialty Chemicals,568.5,49.61,702.83,239.64,35.66,14.88,14.88,31.37,5.82,0.63,16.23,0.0,20.39,43.03,2.25,19.56,18.17,12.12,4.08,0.0,0.0,0.0,0.18,50.48
Artificial Elect,526443.0,,INE072B01027,IT - Software,Software Products,110.3,45.5,305.19,108.21,33.32,30.79,11.49,12.03,7.03,0.07,10.06,0.0,17.78,40.55,1.47,49.72,48.37,4.95,10.98,0.0,0.0,0.0,0.0,70.8
