Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,175.65,1111.58,208.17,33.03,15.87,15.87,66.96,10.17,0.31,8.18,0.58,17.30,140.20,1.11,2.31
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,519.60,22441.11,3107.63,2371.26,76.30,76.30,24.61,3.52,0.91,4.31,2.56,16.86,1607.27,1.01,2.21
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals & Biotechnology,934.60,8469.82,2115.07,464.37,21.96,21.96,31.09,4.26,1.02,9.93,0.21,14.54,963.01,10.12,3.80
Accent Microcell,,ACCENTMIC,Pharmaceuticals & Biotechnology,277.95,666.78,264.58,41.91,15.84,15.84,20.17,3.42,0.26,15.26,0.01,18.44,124.62,6.41,4.81
Aditya AMC,543374,ABSLAMC,Capital Markets,897.40,25856.09,1982.28,1286.65,64.91,64.91,27.78,6.95,2.43,24.44,0.02,26.99,75.86,3.54,1.60
Aditya Birla Cap,540691,ABCAPITAL,Finance,268.55,70105.88,40589.98,14232.65,35.06,35.06,21.21,2.30,0.82,1.32,4.61,11.55,-57973.25,578.57,4.99
Advait Energy,543230,,Industrial Products,2316.15,2507.40,399.11,50.56,12.67,12.67,81.01,12.38,1.01,9.27,0.26,22.44,182.10,7.35,2.89
Aesthetik Engi.,,AESTHETIK,Construction,139.00,239.36,57.88,7.71,13.32,13.32,45.33,5.41,0.33,11.62,0.17,17.81,28.77,0.82,3.94
AGI Infra,539042,AGIIL,Realty,1048.00,2560.62,324.87,92.54,28.49,28.49,38.41,8.68,1.72,5.86,0.47,25.66,144.14,12.58,3.32
Algoquant Fin,505725,,Finance,1231.60,1923.32,234.70,48.24,20.55,20.55,60.31,19.05,,12.27,0.34,37.55,74.85,0.04,1.58
Allied Blenders,544203,ABDL,Beverages,482.40,13497.51,3519.88,431.08,12.25,12.25,69.36,8.75,0.17,6.29,0.59,19.96,1581.25,20.87,4.65
Anand Rathi Wea.,543415,ANANDRATHI,Capital Markets,2645.40,21996.64,975.50,429.79,44.06,45.01,68.70,32.59,2.05,32.68,0.12,45.33,342.77,43.99,1.73
Anthem Bioscienc,544449,ANTHEM,Pharmaceuticals & Biotechnology,732.50,41137.94,1840.65,689.01,37.43,37.43,81.27,,10.67,21.78,0.09,26.19,786.71,109.44,2.68
Apis India,506166,,Food Products,324.55,178.83,350.35,35.60,10.16,10.16,7.06,1.03,0.15,9.17,0.38,15.79,181.06,1.86,0.00
Arkade,544261,ARKADE,Realty,208.84,3878.52,683.10,206.09,30.17,30.17,24.71,4.39,0.51,17.19,0.13,26.00,955.74,11.98,2.27
Aryaman Capital,538716,,Finance,331.70,397.28,74.59,27.89,37.39,37.39,17.33,5.13,0.05,22.15,0.36,38.69,62.22,2.75,4.96
Aryaman Fin.Serv,530245,,Finance,721.70,843.09,112.87,52.67,46.66,46.66,26.71,6.55,0.30,23.47,0.22,31.30,116.80,5.23,1.00
Asahi India Glas,515030,ASAHIINDIA,Auto Components,841.20,20449.57,4594.48,766.13,16.68,16.68,59.36,7.66,84.80,5.61,1.01,13.72,722.98,66.46,4.02
ASM Technologies,526433,,IT - Software,3197.00,3763.59,288.81,47.20,16.34,16.34,149.05,22.79,6.73,9.62,0.52,16.47,149.13,8.55,2.23
Astonea Labs,544409,,Pharmaceuticals & Biotechnology,181.85,191.14,97.52,15.12,15.50,15.50,35.73,,0.20,6.61,3.54,44.66,28.86,0.19,1.70
Authum Invest,539177,AIIL,Finance,2888.00,49051.26,4361.23,3991.81,91.53,89.63,11.97,3.35,0.14,31.27,0.04,34.12,-62.92,44.57,0.34
Avishkar Infra,508929,,Realty,159.40,357.11,2.40,1.87,77.92,77.92,105.65,24.75,1.15,21.07,0.15,150.22,15.61,2.20,0.00
Bajaj Finance,500034,BAJFINANCE,Finance,952.55,591941.86,69709.44,47955.15,68.79,68.79,35.52,6.12,1.07,3.99,3.74,19.22,12937.90,-2.35,2.68
Bajaj Finserv,532978,BAJAJFINSV,Finance,2039.60,325889.98,133822.12,49524.20,37.01,37.01,36.68,4.50,1.47,2.96,4.92,13.39,-121431.86,-18.35,4.47
Balaji Phos.,,BALAJIPHOS,Fertilizers & Agrochemicals,142.00,337.63,126.52,13.26,10.48,10.48,42.63,4.22,1.21,7.44,0.39,13.77,87.77,2.05,3.92
Banco Products,500039,BANCOINDIA,Auto Components,658.05,9412.57,3212.52,611.16,19.02,19.02,24.02,7.22,0.65,16.23,0.44,33.28,1429.63,43.02,4.71
Belrise Industri,544405,BELRISE,Auto Components,126.04,11215.14,8290.82,1021.14,12.32,12.32,31.55,,2.99,5.36,1.10,14.11,2208.13,61.63,1.76
